method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
acorn-ef64,conj_topical100k_a_idlo,conjunction,54805,0,1000,0.9793,0.8340,0.00009,179.415,476.769,594.478,0.000,179.415,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical100k_a_idlo,conjunction,54805,0,1000,0.9934,0.9440,0.00004,289.845,719.553,853.197,0.000,289.845,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical100k_a_idlo,conjunction,54805,0,1000,0.9973,0.9750,0.00001,495.333,1144.825,1496.743,0.000,495.333,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical100k_a_idlo,conjunction,54805,0,1000,0.9991,0.9910,0.00001,798.620,1729.083,2137.285,0.000,798.620,0.000,0.000,0.00,0.0,0.0
acorn-ef64,conj_topical1m_a_idlo,conjunction,531538,0,1000,0.9646,0.7850,0.00027,11.702,41.440,61.743,0.000,11.702,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical1m_a_idlo,conjunction,531538,0,1000,0.9837,0.8910,0.00017,20.272,69.730,96.325,0.000,20.272,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical1m_a_idlo,conjunction,531538,0,1000,0.9914,0.9430,0.00013,37.259,112.989,157.986,0.000,37.259,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical1m_a_idlo,conjunction,531538,0,1000,0.9946,0.9570,0.00005,68.227,181.782,237.197,0.000,68.227,0.000,0.000,0.00,0.0,0.0
acorn-ef64,conj_topical1m_a_idmid,conjunction,238360,0,1000,0.9688,0.7680,0.00014,20.455,66.856,90.801,0.000,20.455,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical1m_a_idmid,conjunction,238360,0,1000,0.9890,0.9050,0.00006,36.682,109.870,147.554,0.000,36.682,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical1m_a_idmid,conjunction,238360,0,1000,0.9952,0.9600,0.00004,66.750,182.106,225.849,0.000,66.750,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical1m_a_idmid,conjunction,238360,0,1000,0.9976,0.9780,0.00001,122.163,291.605,366.634,0.000,122.163,0.000,0.000,0.00,0.0,0.0
acorn-ef64,conj_topical2m_b_idlo,conjunction,175180,0,1000,0.9797,0.8410,0.00008,10.949,50.674,64.048,0.000,10.949,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical2m_b_idlo,conjunction,175180,0,1000,0.9945,0.9510,0.00001,20.816,85.056,101.626,0.000,20.816,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical2m_b_idlo,conjunction,175180,0,1000,0.9989,0.9890,0.00000,39.548,146.124,184.594,0.000,39.548,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical2m_b_idlo,conjunction,175180,0,1000,0.9995,0.9950,0.00000,77.777,251.756,302.448,0.000,77.777,0.000,0.000,0.00,0.0,0.0
acorn-ef64,conj_topical400k_a_idhi,conjunction,205530,0,1000,0.9670,0.7630,0.00015,19.077,59.121,89.197,0.000,19.077,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical400k_a_idhi,conjunction,205530,0,1000,0.9875,0.8910,0.00007,32.188,96.160,127.860,0.000,32.188,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical400k_a_idhi,conjunction,205530,0,1000,0.9960,0.9630,0.00003,60.028,160.710,210.144,0.000,60.028,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical400k_a_idhi,conjunction,205530,0,1000,0.9977,0.9790,0.00002,105.481,276.163,337.368,0.000,105.481,0.000,0.000,0.00,0.0,0.0
acorn-ef64,conj_topical5m_a_idlo,conjunction,911207,0,1000,0.9678,0.8050,0.00018,3.239,6.688,10.427,0.000,3.239,0.000,0.000,0.00,0.0,0.0
acorn-ef128,conj_topical5m_a_idlo,conjunction,911207,0,1000,0.9862,0.9070,0.00009,5.205,11.664,18.748,0.000,5.205,0.000,0.000,0.00,0.0,0.0
acorn-ef256,conj_topical5m_a_idlo,conjunction,911207,0,1000,0.9932,0.9520,0.00005,9.599,20.253,30.317,0.000,9.599,0.000,0.000,0.00,0.0,0.0
acorn-ef512,conj_topical5m_a_idlo,conjunction,911207,0,1000,0.9972,0.9780,0.00003,17.828,36.815,52.557,0.000,17.828,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_100k,random,100000,0,1000,0.9820,0.8650,0.00008,23.640,33.348,38.353,0.000,23.640,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_100k,random,100000,0,1000,0.9951,0.9570,0.00003,45.266,61.171,69.214,0.000,45.266,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_100k,random,100000,0,1000,0.9986,0.9870,0.00001,87.031,112.158,123.556,0.000,87.031,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_100k,random,100000,0,1000,0.9995,0.9950,0.00000,167.092,209.701,230.233,0.000,167.092,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_10k,random,10000,0,1000,0.9934,0.9390,0.00002,1.580,2.267,2.986,0.000,1.580,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_10k,random,10000,0,1000,0.9991,0.9910,0.00000,1.427,2.065,2.278,0.000,1.427,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_10k,random,10000,0,1000,0.9999,0.9990,0.00000,1.591,2.271,2.450,0.000,1.591,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_10k,random,10000,0,1000,1.0000,1.0000,0.00000,2.013,2.548,2.728,0.000,2.013,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_1m,random,1000000,0,1000,0.9746,0.8260,0.00015,3.490,4.925,5.675,0.000,3.490,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_1m,random,1000000,0,1000,0.9889,0.9120,0.00008,5.807,7.869,8.877,0.000,5.807,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_1m,random,1000000,0,1000,0.9937,0.9460,0.00005,10.907,14.899,17.060,0.000,10.907,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_1m,random,1000000,0,1000,0.9962,0.9650,0.00004,20.141,27.389,30.334,0.000,20.141,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_2m,random,2000000,0,1000,0.9674,0.8000,0.00024,2.177,3.058,3.519,0.000,2.177,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_2m,random,2000000,0,1000,0.9845,0.8900,0.00011,3.397,4.706,5.346,0.000,3.397,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_2m,random,2000000,0,1000,0.9919,0.9360,0.00006,6.145,8.398,9.683,0.000,6.145,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_2m,random,2000000,0,1000,0.9953,0.9580,0.00004,11.336,15.538,17.043,0.000,11.336,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_400k,random,400000,0,1000,0.9749,0.8340,0.00012,6.623,9.653,10.964,0.000,6.623,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_400k,random,400000,0,1000,0.9912,0.9230,0.00005,12.184,17.273,19.992,0.000,12.184,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_400k,random,400000,0,1000,0.9961,0.9630,0.00002,23.327,32.746,39.281,0.000,23.327,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_400k,random,400000,0,1000,0.9987,0.9870,0.00001,44.718,58.533,64.386,0.000,44.718,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_40k,random,40000,0,1000,0.9835,0.8690,0.00007,55.637,75.911,83.135,0.000,55.637,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_40k,random,40000,0,1000,0.9957,0.9610,0.00003,106.775,138.132,159.418,0.000,106.775,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_40k,random,40000,0,1000,0.9984,0.9850,0.00001,204.899,260.589,280.113,0.000,204.899,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_40k,random,40000,0,1000,0.9993,0.9930,0.00001,391.242,477.366,509.738,0.000,391.242,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_5m,random,5000000,0,1000,0.9713,0.8320,0.00033,1.163,1.710,2.133,0.000,1.163,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_5m,random,5000000,0,1000,0.9839,0.9030,0.00023,1.691,2.500,4.107,0.000,1.691,0.000,0.000,0.00,0.0,0.0
