filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0041_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,332.434,332.434,332.434,62.751,229.672,1.950,38.061,604.25,512.0,2100.0
anticorr_q0041_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00001,330.840,330.840,330.840,62.295,232.679,12.570,23.296,604.25,4096.0,2100.0
anticorr_q0041_tau0.01,anticorr,9900239,4096,1,0.9000,0.0000,0.00038,333.677,333.677,333.677,64.667,230.990,1.835,36.186,604.26,512.0,2100.0
anticorr_q0041_tau0.01,anticorr,9900239,32768,1,0.9000,0.0000,0.00038,318.346,318.346,318.346,63.282,231.070,11.923,12.072,604.26,4096.0,2100.0
anticorr_q0041_tau0.03,anticorr,9900507,4096,1,1.0000,1.0000,0.00000,315.087,315.087,315.087,61.816,229.337,1.640,22.293,604.28,512.0,2100.0
anticorr_q0041_tau0.03,anticorr,9900507,32768,1,1.0000,1.0000,0.00000,309.327,309.327,309.327,62.576,230.721,12.306,3.724,604.28,4096.0,2100.0
anticorr_q0059_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,333.002,333.002,333.002,63.306,227.911,1.888,39.897,604.25,512.0,2100.0
anticorr_q0059_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00004,332.258,332.258,332.258,64.856,232.678,11.890,22.835,604.25,4096.0,2100.0
anticorr_q0059_tau0.01,anticorr,9899959,4096,1,0.8000,0.0000,0.00006,328.720,328.720,328.720,63.691,227.660,1.864,35.505,604.25,512.0,2100.0
anticorr_q0059_tau0.01,anticorr,9899959,32768,1,1.0000,1.0000,0.00000,323.861,323.861,323.861,62.736,234.323,11.969,14.832,604.25,4096.0,2100.0
anticorr_q0059_tau0.03,anticorr,9899896,4096,1,1.0000,1.0000,0.00000,323.827,323.827,323.827,62.851,227.528,1.805,31.644,604.24,512.0,2100.0
anticorr_q0059_tau0.03,anticorr,9899896,32768,1,1.0000,1.0000,0.00000,311.486,311.486,311.486,63.599,231.234,11.625,5.028,604.24,4096.0,2100.0
anticorr_q0064_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,329.088,329.088,329.088,63.522,229.242,1.922,34.402,604.25,512.0,2100.0
anticorr_q0064_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,335.293,335.293,335.293,61.875,232.885,12.302,28.230,604.25,4096.0,2100.0
anticorr_q0064_tau0.01,anticorr,9900317,4096,1,0.9000,0.0000,0.00074,333.010,333.010,333.010,62.078,229.903,1.913,39.115,604.27,512.0,2100.0
anticorr_q0064_tau0.01,anticorr,9900317,32768,1,1.0000,1.0000,0.00000,324.581,324.581,324.581,62.836,231.444,11.841,18.460,604.27,4096.0,2100.0
anticorr_q0064_tau0.03,anticorr,9899835,4096,1,1.0000,1.0000,0.00000,323.272,323.272,323.272,62.466,227.684,1.807,31.315,604.24,512.0,2100.0
anticorr_q0064_tau0.03,anticorr,9899835,32768,1,1.0000,1.0000,0.00000,315.264,315.264,315.264,62.602,235.546,12.041,5.076,604.24,4096.0,2100.0
anticorr_q0073_tau0,anticorr,9900001,4096,1,0.1000,0.0000,0.00002,325.529,325.529,325.529,62.461,227.692,1.889,33.488,604.25,512.0,2100.0
anticorr_q0073_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00006,326.578,326.578,326.578,63.501,232.190,11.933,18.954,604.25,4096.0,2100.0
anticorr_q0073_tau0.01,anticorr,9899943,4096,1,0.9000,0.0000,0.00006,317.564,317.564,317.564,62.947,227.477,1.885,25.255,604.24,512.0,2100.0
anticorr_q0073_tau0.01,anticorr,9899943,32768,1,0.9000,0.0000,0.00006,320.052,320.052,320.052,62.686,232.413,11.796,13.157,604.24,4096.0,2100.0
anticorr_q0073_tau0.03,anticorr,9899919,4096,1,1.0000,1.0000,0.00000,314.646,314.646,314.646,62.969,231.109,1.794,18.773,604.24,512.0,2100.0
anticorr_q0073_tau0.03,anticorr,9899919,32768,1,1.0000,1.0000,0.00000,307.519,307.519,307.519,62.313,231.138,11.884,2.184,604.24,4096.0,2100.0
anticorr_q0077_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,327.348,327.348,327.348,61.688,229.157,2.052,34.451,604.25,512.0,2100.0
anticorr_q0077_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,334.404,334.404,334.404,62.789,231.017,11.979,28.619,604.25,4096.0,2100.0
anticorr_q0077_tau0.01,anticorr,9899838,4096,1,0.3000,0.0000,0.00548,323.211,323.211,323.211,62.094,227.477,1.917,31.722,604.24,512.0,2100.0
anticorr_q0077_tau0.01,anticorr,9899838,32768,1,0.7000,0.0000,0.00108,331.036,331.036,331.036,63.459,234.126,12.434,21.017,604.24,4096.0,2100.0
anticorr_q0077_tau0.03,anticorr,9900809,4096,1,1.0000,1.0000,0.00000,327.195,327.195,327.195,63.045,228.609,1.955,33.586,604.30,512.0,2100.0
anticorr_q0077_tau0.03,anticorr,9900809,32768,1,1.0000,1.0000,0.00000,318.716,318.716,318.716,63.290,232.120,11.621,11.685,604.30,4096.0,2100.0
anticorr_q0080_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,325.661,325.661,325.661,62.307,228.869,2.003,32.483,604.25,512.0,2100.0
