method,filter,family,size,recall_at_10,sim_regret,p50_ms,p95_ms,p99_ms
scan-b4096,conj_topical100k_a_idlo,conjunction,54805,0.9955,,3.627,7.368,16.954
scan-b4096,conj_topical1m_a_idlo,conjunction,531538,0.9867,,29.846,42.684,57.504
scan-b4096,conj_topical1m_a_idmid,conjunction,238360,0.9906,,15.445,17.074,18.827
scan-b4096,conj_topical2m_b_idlo,conjunction,175180,0.9979,,8.282,16.025,33.805
scan-b4096,conj_topical400k_a_idhi,conjunction,205530,0.9939,,17.462,33.294,50.007
scan-b4096,conj_topical5m_a_idlo,conjunction,911207,0.9934,,39.661,58.888,76.494
scan-b4096,random_100k,random,100000,0.9982,,13.438,35.758,51.141
scan-b4096,random_10k,random,10000,0.9999,,1.840,5.076,24.198
scan-b4096,random_1m,random,1000000,0.9952,,148.966,175.183,212.220
scan-b4096,random_2m,random,2000000,0.9948,,227.190,240.086,244.621
scan-b4096,random_400k,random,400000,0.9976,,67.569,83.414,88.971
scan-b4096,random_40k,random,40000,0.9993,,4.382,14.664,27.574
scan-b4096,random_5m,random,5000000,0.9965,,255.668,265.498,272.821
scan-b4096,topical_100k_a,topical,100006,0.9945,,5.316,8.232,12.917
scan-b4096,topical_100k_b,topical,100000,0.9917,,5.877,12.401,21.159
scan-b4096,topical_10k_a,topical,10002,0.9989,,1.234,1.597,3.587
scan-b4096,topical_10k_b,topical,10001,0.9996,,1.240,1.587,5.426
scan-b4096,topical_1m_a,topical,1000003,0.9890,,58.198,65.035,68.283
scan-b4096,topical_1m_b,topical,1000013,0.9910,,58.072,64.909,70.153
scan-b4096,topical_2m_a,topical,2000088,0.9900,,105.185,113.686,118.370
scan-b4096,topical_2m_b,topical,2000000,0.9938,,100.279,106.978,111.416
scan-b4096,topical_400k_a,topical,400020,0.9935,,26.905,31.121,32.974
scan-b4096,topical_400k_b,topical,400001,0.9941,,25.370,30.209,33.591
scan-b4096,topical_40k_a,topical,40006,0.9951,,2.669,4.765,11.671
scan-b4096,topical_40k_b,topical,40004,0.9972,,2.719,3.626,5.302
scan-b4096,topical_5m_a,topical,5000022,0.9946,,190.409,196.331,202.280
scan-b4096,topical_5m_b,topical,5000010,0.9944,,190.912,194.915,198.983
scan-b4096,anticorr_q0041_tau0,anticorr,9900000,0.0000,,321.056,321.056,321.056
scan-b4096,anticorr_q0041_tau0.01,anticorr,9900239,0.8000,,317.491,317.491,317.491
scan-b4096,anticorr_q0041_tau0.03,anticorr,9900507,1.0000,,298.672,298.672,298.672
scan-b4096,anticorr_q0059_tau0,anticorr,9900000,0.0000,,323.135,323.135,323.135
scan-b4096,anticorr_q0059_tau0.01,anticorr,9899959,0.8000,,313.764,313.764,313.764
scan-b4096,anticorr_q0059_tau0.03,anticorr,9899896,1.0000,,299.027,299.027,299.027
scan-b4096,anticorr_q0064_tau0,anticorr,9900000,0.0000,,315.054,315.054,315.054
scan-b4096,anticorr_q0064_tau0.01,anticorr,9900317,0.9000,,311.788,311.788,311.788
scan-b4096,anticorr_q0064_tau0.03,anticorr,9899835,1.0000,,295.841,295.841,295.841
scan-b4096,anticorr_q0073_tau0,anticorr,9900001,0.1000,,317.627,317.627,317.627
scan-b4096,anticorr_q0073_tau0.01,anticorr,9899943,0.9000,,315.534,315.534,315.534
scan-b4096,anticorr_q0073_tau0.03,anticorr,9899919,1.0000,,295.742,295.742,295.742
scan-b4096,anticorr_q0077_tau0,anticorr,9900000,0.0000,,319.398,319.398,319.398
scan-b4096,anticorr_q0077_tau0.01,anticorr,9899838,0.4000,,309.350,309.350,309.350
scan-b4096,anticorr_q0077_tau0.03,anticorr,9900809,1.0000,,309.714,309.714,309.714
scan-b4096,anticorr_q0080_tau0,anticorr,9900000,0.0000,,352.919,352.919,352.919
scan-b4096,anticorr_q0080_tau0.01,anticorr,9900207,0.9000,,331.713,331.713,331.713
scan-b4096,anticorr_q0080_tau0.03,anticorr,9899376,1.0000,,301.115,301.115,301.115
scan-b4096,anticorr_q0085_tau0,anticorr,9900000,0.0000,,323.809,323.809,323.809
scan-b4096,anticorr_q0085_tau0.01,anticorr,9899881,0.7000,,313.851,313.851,313.851
scan-b4096,anticorr_q0085_tau0.03,anticorr,9899588,1.0000,,298.043,298.043,298.043
scan-b4096,anticorr_q0095_tau0,anticorr,9900001,0.0000,,320.941,320.941,320.941
scan-b4096,anticorr_q0095_tau0.01,anticorr,9899707,0.6000,,309.611,309.611,309.611
scan-b4096,anticorr_q0095_tau0.03,anticorr,9899770,0.9000,,305.537,305.537,305.537
scan-b4096,anticorr_q0117_tau0,anticorr,9900000,0.1000,,320.861,320.861,320.861
scan-b4096,anticorr_q0117_tau0.01,anticorr,9900126,0.6000,,315.011,315.011,315.011
scan-b4096,anticorr_q0117_tau0.03,anticorr,9900642,1.0000,,297.237,297.237,297.237
scan-b4096,anticorr_q0126_tau0,anticorr,9900000,0.0000,,325.542,325.542,325.542
scan-b4096,anticorr_q0126_tau0.01,anticorr,9900093,0.9000,,314.614,314.614,314.614
scan-b4096,anticorr_q0126_tau0.03,anticorr,9900093,1.0000,,296.515,296.515,296.515
scan-b4096,anticorr_q0139_tau0,anticorr,9900000,0.0000,,316.633,316.633,316.633
scan-b4096,anticorr_q0139_tau0.01,anticorr,9900294,0.9000,,306.969,306.969,306.969
scan-b4096,anticorr_q0139_tau0.03,anticorr,9900438,1.0000,,296.975,296.975,296.975
scan-b4096,anticorr_q0147_tau0,anticorr,9900000,0.0000,,328.970,328.970,328.970
scan-b4096,anticorr_q0147_tau0.01,anticorr,9899755,0.9000,,326.438,326.438,326.438
scan-b4096,anticorr_q0147_tau0.03,anticorr,9900099,1.0000,,300.849,300.849,300.849
scan-b4096,anticorr_q0155_tau0,anticorr,9900000,0.0000,,311.126,311.126,311.126
scan-b4096,anticorr_q0155_tau0.01,anticorr,9900135,0.4000,,304.306,304.306,304.306
scan-b4096,anticorr_q0155_tau0.03,anticorr,9900011,0.6000,,296.759,296.759,296.759
scan-b4096,anticorr_q0157_tau0,anticorr,9900000,0.0000,,318.548,318.548,318.548
scan-b4096,anticorr_q0157_tau0.01,anticorr,9900280,0.9000,,314.883,314.883,314.883
scan-b4096,anticorr_q0157_tau0.03,anticorr,9899453,1.0000,,295.903,295.903,295.903
scan-b4096,anticorr_q0168_tau0,anticorr,9900000,0.0000,,316.993,316.993,316.993
scan-b4096,anticorr_q0168_tau0.01,anticorr,9900108,0.9000,,309.261,309.261,309.261
scan-b4096,anticorr_q0168_tau0.03,anticorr,9899404,1.0000,,296.862,296.862,296.862
scan-b4096,anticorr_q0183_tau0,anticorr,9900000,0.0000,,330.495,330.495,330.495
scan-b4096,anticorr_q0183_tau0.01,anticorr,9899334,0.4000,,325.820,325.820,325.820
scan-b4096,anticorr_q0183_tau0.03,anticorr,9900136,1.0000,,299.731,299.731,299.731
scan-b4096,anticorr_q0184_tau0,anticorr,9900002,0.0000,,322.429,322.429,322.429
scan-b4096,anticorr_q0184_tau0.01,anticorr,9899929,0.8000,,313.129,313.129,313.129
scan-b4096,anticorr_q0184_tau0.03,anticorr,9900225,1.0000,,297.346,297.346,297.346
scan-b4096,anticorr_q0185_tau0,anticorr,9900000,0.0000,,315.274,315.274,315.274
scan-b4096,anticorr_q0185_tau0.01,anticorr,9900267,0.7000,,303.606,303.606,303.606
scan-b4096,anticorr_q0185_tau0.03,anticorr,9900343,1.0000,,298.381,298.381,298.381
scan-b4096,anticorr_q0211_tau0,anticorr,9900000,0.0000,,318.139,318.139,318.139
scan-b4096,anticorr_q0211_tau0.01,anticorr,9899733,1.0000,,309.479,309.479,309.479
scan-b4096,anticorr_q0211_tau0.03,anticorr,9899761,1.0000,,297.434,297.434,297.434
scan-b4096,anticorr_q0221_tau0,anticorr,9900000,0.0000,,323.489,323.489,323.489
scan-b4096,anticorr_q0221_tau0.01,anticorr,9900215,0.7000,,314.671,314.671,314.671
scan-b4096,anticorr_q0221_tau0.03,anticorr,9900077,1.0000,,298.575,298.575,298.575
scan-b4096,anticorr_q0238_tau0,anticorr,9900000,0.1000,,312.570,312.570,312.570
scan-b4096,anticorr_q0238_tau0.01,anticorr,9899861,0.9000,,304.694,304.694,304.694
scan-b4096,anticorr_q0238_tau0.03,anticorr,9900075,1.0000,,296.684,296.684,296.684
scan-b4096,anticorr_q0259_tau0,anticorr,9900001,0.0000,,316.806,316.806,316.806
scan-b4096,anticorr_q0259_tau0.01,anticorr,9899695,0.3000,,308.396,308.396,308.396
scan-b4096,anticorr_q0259_tau0.03,anticorr,9900271,1.0000,,299.009,299.009,299.009
scan-b4096,anticorr_q0287_tau0,anticorr,9900000,0.0000,,313.853,313.853,313.853
scan-b4096,anticorr_q0287_tau0.01,anticorr,9899924,0.4000,,306.817,306.817,306.817
scan-b4096,anticorr_q0287_tau0.03,anticorr,9900818,1.0000,,299.437,299.437,299.437
scan-b4096,anticorr_q0308_tau0,anticorr,9900000,0.0000,,337.111,337.111,337.111
scan-b4096,anticorr_q0308_tau0.01,anticorr,9900426,0.8000,,382.966,382.966,382.966
scan-b4096,anticorr_q0308_tau0.03,anticorr,9899801,1.0000,,298.813,298.813,298.813
scan-b4096,anticorr_q0314_tau0,anticorr,9900000,0.0000,,314.666,314.666,314.666
scan-b4096,anticorr_q0314_tau0.01,anticorr,9900146,0.8000,,313.593,313.593,313.593
scan-b4096,anticorr_q0314_tau0.03,anticorr,9899754,1.0000,,302.254,302.254,302.254
scan-b4096,anticorr_q0322_tau0,anticorr,9900000,0.0000,,324.685,324.685,324.685
scan-b4096,anticorr_q0322_tau0.01,anticorr,9900109,0.8000,,316.962,316.962,316.962
scan-b4096,anticorr_q0322_tau0.03,anticorr,9899480,1.0000,,296.680,296.680,296.680
scan-b4096,anticorr_q0334_tau0,anticorr,9900002,0.0000,,313.001,313.001,313.001
scan-b4096,anticorr_q0334_tau0.01,anticorr,9899707,0.9000,,311.011,311.011,311.011
scan-b4096,anticorr_q0334_tau0.03,anticorr,9900192,1.0000,,300.995,300.995,300.995
scan-b4096,anticorr_q0341_tau0,anticorr,9900000,0.1000,,322.196,322.196,322.196
scan-b4096,anticorr_q0341_tau0.01,anticorr,9899869,0.9000,,318.105,318.105,318.105
scan-b4096,anticorr_q0341_tau0.03,anticorr,9899690,1.0000,,300.074,300.074,300.074
scan-b4096,anticorr_q0346_tau0,anticorr,9900000,0.0000,,324.608,324.608,324.608
scan-b4096,anticorr_q0346_tau0.01,anticorr,9899780,1.0000,,311.640,311.640,311.640
scan-b4096,anticorr_q0346_tau0.03,anticorr,9900235,1.0000,,295.327,295.327,295.327
scan-b4096,anticorr_q0353_tau0,anticorr,9900001,0.0000,,313.373,313.373,313.373
scan-b4096,anticorr_q0353_tau0.01,anticorr,9900048,0.7000,,309.468,309.468,309.468
scan-b4096,anticorr_q0353_tau0.03,anticorr,9900443,1.0000,,306.183,306.183,306.183
scan-b4096,anticorr_q0358_tau0,anticorr,9900001,0.1000,,324.921,324.921,324.921
scan-b4096,anticorr_q0358_tau0.01,anticorr,9900242,0.9000,,319.315,319.315,319.315
scan-b4096,anticorr_q0358_tau0.03,anticorr,9900623,1.0000,,303.763,303.763,303.763
scan-b4096,anticorr_q0373_tau0,anticorr,9900000,0.0000,,311.372,311.372,311.372
scan-b4096,anticorr_q0373_tau0.01,anticorr,9900210,0.9000,,302.032,302.032,302.032
scan-b4096,anticorr_q0373_tau0.03,anticorr,9899584,1.0000,,296.939,296.939,296.939
scan-b4096,anticorr_q0385_tau0,anticorr,9900000,0.1000,,316.091,316.091,316.091
scan-b4096,anticorr_q0385_tau0.01,anticorr,9899701,1.0000,,306.201,306.201,306.201
scan-b4096,anticorr_q0385_tau0.03,anticorr,9899845,1.0000,,297.432,297.432,297.432
scan-b4096,anticorr_q0391_tau0,anticorr,9900000,0.1000,,317.411,317.411,317.411
scan-b4096,anticorr_q0391_tau0.01,anticorr,9899967,0.7000,,305.079,305.079,305.079
scan-b4096,anticorr_q0391_tau0.03,anticorr,9900091,0.9000,,297.602,297.602,297.602
scan-b4096,anticorr_q0396_tau0,anticorr,9900000,0.0000,,324.786,324.786,324.786
scan-b4096,anticorr_q0396_tau0.01,anticorr,9899890,0.6000,,316.448,316.448,316.448
scan-b4096,anticorr_q0396_tau0.03,anticorr,9899840,1.0000,,297.826,297.826,297.826
scan-b4096,anticorr_q0412_tau0,anticorr,9900000,0.0000,,324.654,324.654,324.654
scan-b4096,anticorr_q0412_tau0.01,anticorr,9900222,0.7000,,319.603,319.603,319.603
scan-b4096,anticorr_q0412_tau0.03,anticorr,9899948,1.0000,,296.350,296.350,296.350
scan-b4096,anticorr_q0414_tau0,anticorr,9900000,0.0000,,313.918,313.918,313.918
scan-b4096,anticorr_q0414_tau0.01,anticorr,9900396,0.6000,,304.311,304.311,304.311
scan-b4096,anticorr_q0414_tau0.03,anticorr,9900031,1.0000,,304.375,304.375,304.375
scan-b4096,anticorr_q0419_tau0,anticorr,9900000,0.0000,,317.021,317.021,317.021
scan-b4096,anticorr_q0419_tau0.01,anticorr,9900019,0.6000,,309.873,309.873,309.873
scan-b4096,anticorr_q0419_tau0.03,anticorr,9899605,0.9000,,311.494,311.494,311.494
scan-b4096,anticorr_q0422_tau0,anticorr,9900000,0.0000,,334.192,334.192,334.192
scan-b4096,anticorr_q0422_tau0.01,anticorr,9899839,0.9000,,357.930,357.930,357.930
scan-b4096,anticorr_q0422_tau0.03,anticorr,9899461,1.0000,,300.504,300.504,300.504
scan-b4096,anticorr_q0429_tau0,anticorr,9900001,0.0000,,319.012,319.012,319.012
scan-b4096,anticorr_q0429_tau0.01,anticorr,9899982,0.8000,,307.959,307.959,307.959
scan-b4096,anticorr_q0429_tau0.03,anticorr,9899401,1.0000,,295.837,295.837,295.837
scan-b4096,anticorr_q0431_tau0,anticorr,9900000,0.1000,,320.986,320.986,320.986
scan-b4096,anticorr_q0431_tau0.01,anticorr,9900076,0.9000,,306.796,306.796,306.796
scan-b4096,anticorr_q0431_tau0.03,anticorr,9899635,1.0000,,296.939,296.939,296.939
scan-b4096,anticorr_q0445_tau0,anticorr,9900000,0.0000,,313.501,313.501,313.501
scan-b4096,anticorr_q0445_tau0.01,anticorr,9899705,0.5000,,304.089,304.089,304.089
scan-b4096,anticorr_q0445_tau0.03,anticorr,9900310,1.0000,,296.887,296.887,296.887
scan-b4096,anticorr_q0450_tau0,anticorr,9900000,0.0000,,318.186,318.186,318.186
scan-b4096,anticorr_q0450_tau0.01,anticorr,9900197,0.7000,,315.812,315.812,315.812
scan-b4096,anticorr_q0450_tau0.03,anticorr,9899478,1.0000,,299.332,299.332,299.332
scan-b4096,anticorr_q0455_tau0,anticorr,9900000,0.0000,,322.006,322.006,322.006
scan-b4096,anticorr_q0455_tau0.01,anticorr,9900370,0.8000,,310.650,310.650,310.650
scan-b4096,anticorr_q0455_tau0.03,anticorr,9899873,1.0000,,295.052,295.052,295.052
scan-b4096,anticorr_q0460_tau0,anticorr,9900000,0.0000,,313.128,313.128,313.128
scan-b4096,anticorr_q0460_tau0.01,anticorr,9900256,0.7000,,308.229,308.229,308.229
scan-b4096,anticorr_q0460_tau0.03,anticorr,9900503,1.0000,,298.170,298.170,298.170
scan-b4096,anticorr_q0464_tau0,anticorr,9900000,0.0000,,315.672,315.672,315.672
scan-b4096,anticorr_q0464_tau0.01,anticorr,9900480,0.9000,,310.710,310.710,310.710
scan-b4096,anticorr_q0464_tau0.03,anticorr,9899875,1.0000,,300.008,300.008,300.008
scan-b4096,anticorr_q0470_tau0,anticorr,9900000,0.0000,,313.051,313.051,313.051
scan-b4096,anticorr_q0470_tau0.01,anticorr,9899943,0.7000,,307.318,307.318,307.318
scan-b4096,anticorr_q0470_tau0.03,anticorr,9899584,1.0000,,297.958,297.958,297.958
scan-b4096,anticorr_q0475_tau0,anticorr,9900000,0.0000,,319.012,319.012,319.012
scan-b4096,anticorr_q0475_tau0.01,anticorr,9899930,1.0000,,316.207,316.207,316.207
scan-b4096,anticorr_q0475_tau0.03,anticorr,9900115,1.0000,,296.645,296.645,296.645
scan-b4096,anticorr_q0479_tau0,anticorr,9900000,0.0000,,310.876,310.876,310.876
scan-b4096,anticorr_q0479_tau0.01,anticorr,9900207,0.6000,,306.559,306.559,306.559
scan-b4096,anticorr_q0479_tau0.03,anticorr,9899501,1.0000,,298.042,298.042,298.042
scan-b4096,anticorr_q0506_tau0,anticorr,9900000,0.0000,,322.308,322.308,322.308
scan-b4096,anticorr_q0506_tau0.01,anticorr,9899733,0.8000,,314.878,314.878,314.878
scan-b4096,anticorr_q0506_tau0.03,anticorr,9899983,1.0000,,301.831,301.831,301.831
scan-b4096,anticorr_q0517_tau0,anticorr,9900000,0.0000,,316.237,316.237,316.237
scan-b4096,anticorr_q0517_tau0.01,anticorr,9900123,0.6000,,307.595,307.595,307.595
scan-b4096,anticorr_q0517_tau0.03,anticorr,9899832,1.0000,,299.564,299.564,299.564
scan-b4096,anticorr_q0523_tau0,anticorr,9900000,0.0000,,317.784,317.784,317.784
scan-b4096,anticorr_q0523_tau0.01,anticorr,9899484,1.0000,,325.062,325.062,325.062
scan-b4096,anticorr_q0523_tau0.03,anticorr,9899888,1.0000,,361.126,361.126,361.126
scan-b4096,anticorr_q0552_tau0,anticorr,9900001,0.1000,,377.077,377.077,377.077
scan-b4096,anticorr_q0552_tau0.01,anticorr,9899888,0.8000,,410.517,410.517,410.517
scan-b4096,anticorr_q0552_tau0.03,anticorr,9899649,1.0000,,360.078,360.078,360.078
scan-b4096,anticorr_q0591_tau0,anticorr,9900000,0.0000,,380.534,380.534,380.534
scan-b4096,anticorr_q0591_tau0.01,anticorr,9900154,0.7000,,344.101,344.101,344.101
scan-b4096,anticorr_q0591_tau0.03,anticorr,9900140,1.0000,,393.255,393.255,393.255
scan-b4096,anticorr_q0593_tau0,anticorr,9900000,0.1000,,397.669,397.669,397.669
scan-b4096,anticorr_q0593_tau0.01,anticorr,9900414,0.8000,,383.508,383.508,383.508
scan-b4096,anticorr_q0593_tau0.03,anticorr,9900005,1.0000,,405.307,405.307,405.307
scan-b4096,anticorr_q0596_tau0,anticorr,9900000,0.0000,,366.506,366.506,366.506
scan-b4096,anticorr_q0596_tau0.01,anticorr,9900518,0.8000,,367.227,367.227,367.227
