filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
conj_topical100k_a_idlo,conjunction,54805,1000,0.9955,0.9620,3.627,7.368,16.954,0.232,2.166,0.827,0.317,3.35,512.0,2100.0
conj_topical1m_a_idlo,conjunction,531538,1000,0.9867,0.8950,29.846,42.684,57.504,4.393,21.068,1.425,2.608,32.44,512.0,2100.0
conj_topical1m_a_idmid,conjunction,238360,1000,0.9906,0.9230,15.445,17.074,18.827,2.161,11.286,1.166,0.741,14.55,512.0,2100.0
conj_topical2m_b_idlo,conjunction,175180,1000,0.9979,0.9820,8.282,16.025,33.805,1.259,5.391,0.883,0.564,10.69,512.0,2100.0
conj_topical400k_a_idhi,conjunction,205530,1000,0.9939,0.9490,17.462,33.294,50.007,2.143,12.060,1.304,1.624,12.54,512.0,2100.0
conj_topical5m_a_idlo,conjunction,911207,1000,0.9934,0.9450,39.661,58.888,76.494,6.296,25.971,1.266,5.326,55.62,512.0,2100.0
random_100k,random,100000,1000,0.9982,0.9840,13.438,35.758,51.141,0.422,8.822,1.246,2.983,6.10,512.0,2100.0
random_10k,random,10000,1000,0.9999,0.9990,1.840,5.076,24.198,0.044,0.547,0.786,0.326,0.61,512.0,2100.0
random_1m,random,1000000,1000,0.9952,0.9650,148.966,175.183,212.220,10.711,115.949,1.776,20.200,61.04,512.0,2100.0
random_2m,random,2000000,1000,0.9948,0.9540,227.190,240.086,244.621,16.305,189.792,1.775,18.629,122.07,512.0,2100.0
random_400k,random,400000,1000,0.9976,0.9780,67.569,83.414,88.971,6.575,49.899,1.565,9.269,24.41,512.0,2100.0
random_40k,random,40000,1000,0.9993,0.9930,4.382,14.664,27.574,0.173,2.490,0.893,0.764,2.44,512.0,2100.0
random_5m,random,5000000,1000,0.9965,0.9720,255.668,265.498,272.821,34.145,206.848,1.846,12.838,305.18,512.0,2100.0
topical_100k_a,topical,100006,1000,0.9945,0.9580,5.316,8.232,12.917,0.420,3.449,0.915,0.517,6.10,512.0,2100.0
topical_100k_b,topical,100000,1000,0.9917,0.9270,5.877,12.401,21.159,0.422,3.776,0.958,0.681,6.10,512.0,2100.0
