toggle,set,members,parallel,ef,qps,p50_ms,p99_ms,recall,ndcg
acorn,set1500k,1505618,1,128,50.7,19.71,29.29,0.942,0.9755
acorn,set1500k,1505618,2,128,96.9,20.6,33.34,0.942,0.9755
acorn,set1500k,1505618,4,128,168.4,23.54,38.38,0.942,0.9755
acorn,set1500k,1505618,8,128,231.1,34.32,63.21,0.942,0.9755
acorn,set1500k,1505618,16,128,235.6,64.47,169.75,0.942,0.9755
scan600k,set1500k,1505618,1,128,52.5,19.03,29.8,0.942,0.9755
scan600k,set1500k,1505618,2,128,97.0,20.59,35.33,0.942,0.9755
scan600k,set1500k,1505618,4,128,167.6,23.67,38.88,0.942,0.9755
scan600k,set1500k,1505618,8,128,228.5,34.73,68.23,0.942,0.9755
scan600k,set1500k,1505618,16,128,238.7,62.77,173.11,0.942,0.9755
acorn,set250k,255348,1,128,56.1,17.81,28.5,0.8761,0.9508
acorn,set250k,255348,2,128,107.5,18.57,31.11,0.8761,0.9508
acorn,set250k,255348,4,128,208.9,18.99,30.36,0.8761,0.9508
acorn,set250k,255348,8,128,322.8,24.08,43.57,0.8761,0.9508
acorn,set250k,255348,16,128,345.7,44.27,106.07,0.8761,0.9508
scan600k,set250k,255348,1,128,44.4,22.49,24.8,0.995,0.9983
scan600k,set250k,255348,2,128,68.6,29.14,35.58,0.995,0.9983
scan600k,set250k,255348,4,128,127.1,31.47,39.08,0.995,0.9983
scan600k,set250k,255348,8,128,209.1,37.99,58.44,0.995,0.9983
scan600k,set250k,255348,16,128,229.0,67.89,150.15,0.995,0.9983
acorn,set50k,62463,1,128,70.8,14.11,22.62,0.8062,0.9165
acorn,set50k,62463,2,128,129.2,15.43,26.39,0.8062,0.9165
acorn,set50k,62463,4,128,269.3,14.66,23.29,0.8062,0.9165
acorn,set50k,62463,8,128,486.5,16.1,25.67,0.8062,0.9165
acorn,set50k,62463,16,128,499.7,30.96,77.16,0.8062,0.9165
scan600k,set50k,62463,1,128,177.5,5.63,9.24,0.9975,0.9991
scan600k,set50k,62463,2,128,260.1,7.68,11.27,0.9975,0.9991
scan600k,set50k,62463,4,128,459.2,8.65,10.14,0.9975,0.9991
scan600k,set50k,62463,8,128,714.7,11.12,23.55,0.9975,0.9991
scan600k,set50k,62463,16,128,910.8,16.63,31.75,0.9975,0.9991
acorn,set600k,605142,1,128,58.8,16.98,29.99,0.9169,0.9678
acorn,set600k,605142,2,128,113.1,17.64,30.88,0.917,0.9679
acorn,set600k,605142,4,128,201.5,19.77,34.6,0.9169,0.9678
acorn,set600k,605142,8,128,288.1,27.59,50.08,0.917,0.9679
acorn,set600k,605142,16,128,297.3,50.45,127.75,0.917,0.9679
scan600k,set600k,605142,1,128,60.6,16.49,24.82,0.9169,0.9678
scan600k,set600k,605142,2,128,113.8,17.52,27.45,0.9169,0.9678
scan600k,set600k,605142,4,128,205.0,19.42,32.75,0.917,0.9679
scan600k,set600k,605142,8,128,285.9,27.77,56.62,0.917,0.9679
scan600k,set600k,605142,16,128,293.0,51.6,124.69,0.917,0.9679
acorn-ef128,set250k,255348,1,128,54.3,18.41,29.45,0.8761,0.9508
acorn-ef256,set250k,255348,1,256,34.8,28.7,46.8,0.9265,0.9726
acorn-ef512,set250k,255348,1,512,21.2,47.22,76.13,0.9579,0.9848
acorn-ef128,set250k,255348,4,128,206.2,19.21,37.71,0.8761,0.9508
acorn-ef256,set250k,255348,4,256,130.8,30.24,51.27,0.9264,0.9726
acorn-ef512,set250k,255348,4,512,80.3,49.15,79.8,0.9579,0.9848
acorn-ef128,set250k,255348,16,128,329.2,46.17,119.53,0.8761,0.9508
acorn-ef256,set250k,255348,16,256,224.8,68.15,151.77,0.9265,0.9726
acorn-ef512,set250k,255348,16,512,141.4,107.62,211.43,0.958,0.9849
scan-routed,set600k,605142,1,128,15.0,66.48,73.96,0.9919,0.9972
scan-routed,set600k,605142,2,128,26.9,74.34,86.03,0.9919,0.9972
scan-routed,set600k,605142,4,128,48.5,82.43,101.72,0.9919,0.9972
scan-routed,set600k,605142,8,128,81.2,98.26,125.37,0.9919,0.9972
scan-routed,set600k,605142,16,128,88.5,175.18,317.47,0.9919,0.9972
