dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos40_cat00,pos40,202630,sweeping,64,1,12,1.0000,1.0000,0.00000,1.834,2.512,3.006,1.735,3378.7,0.0,488.8,193.2,4.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,64,2,12,1.0000,1.0000,0.00000,1.827,2.510,2.966,1.737,3378.7,0.0,488.8,193.2,4.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,64,3,12,1.0000,1.0000,0.00000,1.824,2.513,2.864,1.729,3378.7,0.0,488.8,193.2,4.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,128,1,12,1.0000,1.0000,0.00000,3.583,5.312,7.027,3.571,6892.8,0.0,1035.2,452.3,6.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,128,2,12,1.0000,1.0000,0.00000,4.080,5.236,7.592,3.727,6892.8,0.0,1035.2,452.3,6.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,128,3,12,1.0000,1.0000,0.00000,4.565,5.540,8.028,3.990,6892.8,0.0,1035.2,452.3,6.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,256,1,12,1.0000,1.0000,0.00000,6.393,11.872,12.261,6.755,12569.8,0.0,2155.2,940.3,11.0,35.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,256,2,12,1.0000,1.0000,0.00000,6.456,12.200,34.575,8.930,12569.8,0.0,2155.2,940.3,11.0,35.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,256,3,12,1.0000,1.0000,0.00000,6.318,11.651,12.368,6.844,12569.8,0.0,2155.2,940.3,11.0,35.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,512,1,12,1.0000,1.0000,0.00000,11.347,23.132,24.197,12.443,22481.8,0.0,4482.3,1979.9,24.0,96.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos40_cat00,pos40,202630,sweeping,512,2,12,1.0000,1.0000,0.00000,11.352,23.164,24.178,12.364,22481.8,0.0,4482.3,1979.9,24.0,96.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
