dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,64,1,12,1.0000,1.0000,0.00000,0.707,1.121,1.145,0.699,3776.5,0.0,576.6,205.8,3.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,64,2,12,1.0000,1.0000,0.00000,0.758,1.074,1.370,0.732,3776.5,0.0,576.6,205.8,3.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,64,3,12,1.0000,1.0000,0.00000,0.732,0.896,0.964,0.639,3776.5,0.0,576.6,205.8,3.0,9.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,128,1,12,1.0000,1.0000,0.00000,1.506,2.280,2.691,1.436,7163.1,0.0,1127.2,442.1,5.0,19.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,128,2,12,1.0000,1.0000,0.00000,1.597,2.199,2.715,1.479,7163.1,0.0,1127.2,442.1,5.0,19.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,128,3,12,1.0000,1.0000,0.00000,1.146,2.543,2.783,1.457,7163.1,0.0,1127.2,442.1,5.0,19.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,256,1,12,1.0000,1.0000,0.00000,2.849,5.114,5.619,2.992,13300.1,0.0,2338.2,929.2,9.0,41.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,256,2,12,1.0000,1.0000,0.00000,3.007,5.074,5.960,3.055,13300.1,0.0,2338.2,929.2,9.0,41.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,256,3,12,1.0000,1.0000,0.00000,2.908,5.399,5.904,3.064,13300.1,0.0,2338.2,929.2,9.0,41.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,512,1,12,1.0000,1.0000,0.00000,5.992,11.954,13.491,6.679,24108.2,0.0,4731.6,1974.6,22.0,76.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,512,2,12,1.0000,1.0000,0.00000,5.854,12.414,12.498,6.328,24108.2,0.0,4731.6,1974.6,22.0,76.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,sweeping,512,3,12,1.0000,1.0000,0.00000,5.364,10.889,12.239,5.874,24108.2,0.0,4731.6,1974.6,22.0,76.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos40_cat00,pos40,202630,pathseer,64,1,12,0.9917,0.9167,0.00004,0.377,0.492,0.502,0.389,1594.0,0.0,1899.8,129.0,3.0,7.0,112.0,22.9,1098.3,1.8,0.00,pathseer:12
