dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,1,1000,0.8227,0.2960,0.00133,16.291,57.104,79.559,21.030,74986.6,0.0,10686.4,4113.2,3.0,83.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,2,1000,0.8226,0.2950,0.00133,16.167,55.804,82.430,20.840,74986.6,0.0,10686.4,4113.2,3.0,83.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,3,1000,0.8226,0.2950,0.00133,16.070,55.456,83.582,20.887,74986.6,0.0,10686.4,4113.2,3.0,83.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,1,1000,0.9007,0.5120,0.00069,29.382,91.128,126.574,35.930,124446.7,0.0,18729.4,7299.0,4.0,168.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,2,1000,0.9007,0.5120,0.00069,29.387,92.173,125.475,35.884,124446.7,0.0,18729.4,7299.0,4.0,168.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,128,3,1000,0.9008,0.5130,0.00069,29.330,92.042,123.177,35.815,124446.7,0.0,18729.4,7299.0,4.0,168.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,1,1000,0.9497,0.7040,0.00032,52.637,147.524,181.578,61.478,205594.4,0.0,32793.3,12882.7,8.0,354.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,2,1000,0.9497,0.7040,0.00032,53.263,147.732,182.031,61.764,205594.4,0.0,32793.3,12882.7,8.0,354.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,256,3,1000,0.9496,0.7030,0.00032,52.994,149.854,182.145,61.899,205594.4,0.0,32793.3,12882.7,8.0,354.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,1,1000,0.9751,0.8340,0.00018,102.166,254.396,299.674,110.757,338600.4,0.0,57319.0,22782.7,15.0,738.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,2,1000,0.9750,0.8330,0.00018,97.638,243.266,286.712,107.224,338600.4,0.0,57319.0,22782.7,15.0,738.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,512,3,1000,0.9750,0.8330,0.00018,97.273,238.215,280.223,106.156,338600.4,0.0,57319.0,22782.7,15.0,738.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,64,1,1000,0.8006,0.2980,0.00190,3.149,12.879,23.927,4.505,6099.8,0.0,31808.3,1629.7,3.0,79.0,118.7,4.9,25397.9,1.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,64,2,1000,0.8006,0.2980,0.00190,3.209,12.743,23.939,4.545,6099.8,0.0,31808.3,1629.7,3.0,79.0,118.7,4.9,25397.9,1.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,64,3,1000,0.8007,0.2990,0.00190,3.136,12.706,23.183,4.464,6099.8,0.0,31808.3,1629.7,3.0,79.0,118.7,4.9,25397.9,1.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,128,1,1000,0.8843,0.4950,0.00098,6.243,23.614,40.865,8.443,11387.0,0.0,56195.0,3171.7,4.0,158.0,212.9,8.7,44053.3,3.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,128,2,1000,0.8844,0.4960,0.00098,6.249,24.304,43.513,8.478,11387.0,0.0,56195.0,3171.7,4.0,158.0,212.9,8.7,44053.3,3.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,128,3,1000,0.8843,0.4950,0.00098,6.135,24.106,42.387,8.455,11387.0,0.0,56195.0,3171.7,4.0,158.0,212.9,8.7,44053.3,3.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,256,1,1000,0.9362,0.6700,0.00053,11.947,41.807,69.104,15.799,21125.0,0.0,98098.3,6078.4,7.0,337.0,411.4,17.0,75279.7,6.4,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,256,2,1000,0.9362,0.6700,0.00053,11.828,41.792,68.416,15.719,21125.0,0.0,98098.3,6078.4,7.0,337.0,411.4,17.0,75279.7,6.4,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,256,3,1000,0.9362,0.6700,0.00053,11.911,41.431,69.413,15.742,21125.0,0.0,98098.3,6078.4,7.0,337.0,411.4,17.0,75279.7,6.4,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,512,1,1000,0.9694,0.8150,0.00022,23.489,71.568,112.552,29.204,38904.8,0.0,169105.7,11362.7,14.0,712.0,854.3,34.2,126717.3,13.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,512,2,1000,0.9694,0.8150,0.00022,23.307,74.860,113.641,29.405,38904.8,0.0,169105.7,11362.7,14.0,712.0,854.3,34.2,126717.3,13.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,pathseer,512,3,1000,0.9694,0.8150,0.00022,23.398,73.476,113.694,29.212,38904.8,0.0,169105.7,11362.7,14.0,712.0,854.3,34.2,126717.3,13.3,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,ours-no-twohop,64,1,1000,0.8051,0.3000,0.00182,3.208,12.657,22.714,4.520,6210.5,0.0,32117.8,1655.1,3.0,83.0,0.0,0.0,25683.5,0.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,ours-no-twohop,64,2,1000,0.8052,0.3010,0.00182,3.177,12.823,24.156,4.550,6210.5,0.0,32117.8,1655.1,3.0,83.0,0.0,0.0,25683.5,0.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,ours-no-twohop,64,3,1000,0.8051,0.3000,0.00182,3.166,12.774,23.105,4.508,6210.5,0.0,32117.8,1655.1,3.0,83.0,0.0,0.0,25683.5,0.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,ours-no-twohop,128,1,1000,0.8854,0.4990,0.00096,6.259,23.987,41.739,8.538,11603.5,0.0,56837.3,3233.2,4.0,168.0,0.0,0.0,44619.2,0.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,ours-no-twohop,128,2,1000,0.8854,0.4990,0.00096,6.298,24.494,42.744,8.576,11603.5,0.0,56837.3,3233.2,4.0,168.0,0.0,0.0,44619.2,0.0,0.00,pathseer:1000
