dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,64,1,1,0.1000,0.0000,0.00113,249.683,249.683,249.683,249.683,591954.0,0.0,106271.0,48869.0,3.0,2784.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,64,2,1,0.1000,0.0000,0.00113,220.003,220.003,220.003,220.003,591954.0,0.0,106271.0,48869.0,3.0,2784.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,64,3,1,0.1000,0.0000,0.00113,214.695,214.695,214.695,214.695,591954.0,0.0,106271.0,48869.0,3.0,2784.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,128,1,1,0.3000,0.0000,0.00055,341.315,341.315,341.315,341.315,915524.0,0.0,158088.0,76824.0,4.0,4762.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,128,2,1,0.3000,0.0000,0.00055,354.891,354.891,354.891,354.891,915524.0,0.0,158088.0,76824.0,4.0,4762.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,sweeping,128,3,1,0.3000,0.0000,0.00055,339.667,339.667,339.667,339.667,915524.0,0.0,158088.0,76824.0,4.0,4762.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,64,1,1,0.1000,0.0000,0.00229,9.813,9.813,9.813,9.813,367.0,10.0,73257.0,75.0,15.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,64,2,1,0.1000,0.0000,0.00229,8.812,8.812,8.812,8.812,367.0,10.0,73257.0,75.0,15.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,64,3,1,0.1000,0.0000,0.00229,7.905,7.905,7.905,7.905,367.0,10.0,73257.0,75.0,15.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,128,1,1,0.1000,0.0000,0.00157,15.101,15.101,15.101,15.101,615.0,10.0,124576.0,134.0,31.0,25.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,128,2,1,0.1000,0.0000,0.00157,14.876,14.876,14.876,14.876,615.0,10.0,124576.0,134.0,31.0,25.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,128,3,1,0.1000,0.0000,0.00157,14.912,14.912,14.912,14.912,615.0,10.0,124576.0,134.0,31.0,25.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,256,1,1,0.2000,0.0000,0.00064,35.339,35.339,35.339,35.339,1277.0,10.0,259095.0,264.0,66.0,52.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,256,2,1,0.2000,0.0000,0.00064,34.079,34.079,34.079,34.079,1277.0,10.0,259095.0,264.0,66.0,52.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,256,3,1,0.2000,0.0000,0.00064,34.304,34.304,34.304,34.304,1277.0,10.0,259095.0,264.0,66.0,52.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,512,1,1,0.3000,0.0000,0.00036,64.231,64.231,64.231,64.231,2237.0,10.0,451507.0,515.0,143.0,112.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,512,2,1,0.3000,0.0000,0.00036,63.082,63.082,63.082,63.082,2237.0,10.0,451507.0,515.0,143.0,112.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,acorn,512,3,1,0.3000,0.0000,0.00036,63.093,63.093,63.093,63.093,2237.0,10.0,451507.0,515.0,143.0,112.0,0.0,0.0,0.0,0.0,0.00,acorn:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,64,1,1,0.2000,0.0000,0.00133,65.629,65.629,65.629,65.629,43296.0,0.0,263366.0,25313.0,3.0,2763.0,128.0,1.0,195684.0,2.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,64,2,1,0.2000,0.0000,0.00133,64.439,64.439,64.439,64.439,43296.0,0.0,263366.0,25313.0,3.0,2763.0,128.0,1.0,195684.0,2.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,64,3,1,0.2000,0.0000,0.00133,65.867,65.867,65.867,65.867,43296.0,0.0,263366.0,25313.0,3.0,2763.0,128.0,1.0,195684.0,2.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,128,1,1,0.2000,0.0000,0.00066,107.552,107.552,107.552,107.552,69231.0,0.0,393714.0,39476.0,4.0,4761.0,192.0,1.0,286646.0,3.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,128,2,1,0.2000,0.0000,0.00066,101.901,101.901,101.901,101.901,69231.0,0.0,393714.0,39476.0,4.0,4761.0,192.0,1.0,286646.0,3.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,128,3,1,0.2000,0.0000,0.00066,103.702,103.702,103.702,103.702,69231.0,0.0,393714.0,39476.0,4.0,4761.0,192.0,1.0,286646.0,3.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,256,1,1,0.3000,0.0000,0.00040,158.463,158.463,158.463,158.463,107239.0,0.0,578724.0,59839.0,7.0,7697.0,384.0,2.0,414619.0,6.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,256,2,1,0.3000,0.0000,0.00040,165.347,165.347,165.347,165.347,107239.0,0.0,578724.0,59839.0,7.0,7697.0,384.0,2.0,414619.0,6.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,256,3,1,0.3000,0.0000,0.00040,160.583,160.583,160.583,160.583,107239.0,0.0,578724.0,59839.0,7.0,7697.0,384.0,2.0,414619.0,6.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,512,1,1,0.5000,0.0000,0.00018,257.766,257.766,257.766,257.766,176709.0,0.0,886568.0,94165.0,13.0,13244.0,768.0,2.0,620976.0,12.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,512,2,1,0.5000,0.0000,0.00018,256.154,256.154,256.154,256.154,176709.0,0.0,886568.0,94165.0,13.0,13244.0,768.0,2.0,620976.0,12.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m50k,negsparse,50000,pathseer,512,3,1,0.5000,0.0000,0.00018,254.860,254.860,254.860,254.860,176709.0,0.0,886568.0,94165.0,13.0,13244.0,768.0,2.0,620976.0,12.0,0.00,pathseer:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,64,1,1,0.1000,0.0000,0.00080,142.079,142.079,142.079,142.079,400469.0,0.0,66859.0,32886.0,3.0,1200.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,64,2,1,0.1000,0.0000,0.00080,140.334,140.334,140.334,140.334,400469.0,0.0,66859.0,32886.0,3.0,1200.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,64,3,1,0.1000,0.0000,0.00080,140.347,140.347,140.347,140.347,400469.0,0.0,66859.0,32886.0,3.0,1200.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,128,1,1,0.1000,0.0000,0.00024,199.503,199.503,199.503,199.503,545570.0,0.0,90842.0,44981.0,4.0,2101.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,128,2,1,0.1000,0.0000,0.00024,203.243,203.243,203.243,203.243,545570.0,0.0,90842.0,44981.0,4.0,2101.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,sweeping,128,3,1,0.1000,0.0000,0.00024,196.084,196.084,196.084,196.084,545570.0,0.0,90842.0,44981.0,4.0,2101.0,0.0,0.0,0.0,0.0,0.00,sweeping:1
wikidpr10m-rq1,negsparse_q0041_m150k,negsparse,150000,acorn,64,1,1,0.0000,0.0000,0.00218,9.820,9.820,9.820,9.820,1011.0,10.0,74101.0,68.0,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1
