method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
scan,negsparse_q0041_m50k,negsparse,50000,4096,1,0.6000,0.0000,0.00014,37.849,37.849,37.849,0.218,5.066,0.959,31.606,3.05,512.0,2100.0
scan,negsparse_q0041_m50k,negsparse,50000,32768,1,0.6000,0.0000,0.00014,19.643,19.643,19.643,0.224,6.802,8.867,3.751,3.05,4096.0,2100.0
scan,negsparse_q0041_m150k,negsparse,150000,4096,1,0.5000,0.0000,0.00004,31.787,31.787,31.787,0.629,12.842,1.023,17.293,9.16,512.0,2100.0
scan,negsparse_q0041_m150k,negsparse,150000,32768,1,0.5000,0.0000,0.00004,32.543,32.543,32.543,0.669,15.148,10.128,6.598,9.16,4096.0,2100.0
scan,negsparse_q0041_m300k,negsparse,300000,4096,1,0.1000,0.0000,0.00007,48.485,48.485,48.485,1.460,26.096,1.376,19.552,18.31,512.0,2100.0
scan,negsparse_q0041_m300k,negsparse,300000,32768,1,0.0000,0.0000,0.00008,54.846,54.846,54.846,1.493,31.058,13.369,8.925,18.31,4096.0,2100.0
scan,negsparse_q0041_m1m,negsparse,1000000,4096,1,0.0000,0.0000,0.00009,145.109,145.109,145.109,10.767,118.318,1.805,14.219,61.04,512.0,2100.0
scan,negsparse_q0041_m1m,negsparse,1000000,32768,1,0.0000,0.0000,0.00006,149.847,149.847,149.847,10.936,118.228,11.884,8.799,61.04,4096.0,2100.0
scan,negsparse_q0041_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00005,230.383,230.383,230.383,17.797,194.800,1.797,15.988,122.07,512.0,2100.0
scan,negsparse_q0041_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00005,231.387,231.387,231.387,16.797,192.887,11.522,10.181,122.07,4096.0,2100.0
scan,negsparse_q0041_m4m,negsparse,4000000,4096,1,0.1000,0.0000,0.00003,255.971,255.971,255.971,28.253,215.903,1.821,9.993,244.14,512.0,2100.0
scan,negsparse_q0041_m4m,negsparse,4000000,32768,1,0.1000,0.0000,0.00003,262.716,262.716,262.716,28.418,216.798,11.748,5.751,244.14,4096.0,2100.0
scan,negsparse_q0059_m50k,negsparse,50000,4096,1,0.9000,0.0000,0.00002,30.991,30.991,30.991,0.211,5.139,0.978,24.662,3.05,512.0,2100.0
scan,negsparse_q0059_m50k,negsparse,50000,32768,1,0.9000,0.0000,0.00002,19.324,19.324,19.324,0.230,6.105,9.628,3.361,3.05,4096.0,2100.0
scan,negsparse_q0059_m150k,negsparse,150000,4096,1,0.5000,0.0000,0.00005,36.159,36.159,36.159,0.627,13.266,1.505,20.760,9.16,512.0,2100.0
scan,negsparse_q0059_m150k,negsparse,150000,32768,1,0.5000,0.0000,0.00004,32.428,32.428,32.428,0.646,16.613,9.068,6.101,9.16,4096.0,2100.0
scan,negsparse_q0059_m300k,negsparse,300000,4096,1,0.3000,0.0000,0.00004,44.624,44.624,44.624,1.386,25.148,1.398,16.692,18.31,512.0,2100.0
scan,negsparse_q0059_m300k,negsparse,300000,32768,1,0.3000,0.0000,0.00004,47.477,47.477,47.477,1.480,28.654,10.483,6.859,18.31,4096.0,2100.0
scan,negsparse_q0059_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00005,143.901,143.901,143.901,10.632,115.993,1.746,15.530,61.04,512.0,2100.0
scan,negsparse_q0059_m1m,negsparse,1000000,32768,1,0.4000,0.0000,0.00002,148.299,148.299,148.299,10.974,117.219,11.526,8.579,61.04,4096.0,2100.0
scan,negsparse_q0059_m2m,negsparse,2000000,4096,1,0.1000,0.0000,0.00010,223.099,223.099,223.099,16.427,192.828,1.826,12.017,122.07,512.0,2100.0
scan,negsparse_q0059_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00008,236.198,236.198,236.198,17.048,195.647,11.721,11.781,122.07,4096.0,2100.0
scan,negsparse_q0059_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00003,257.003,257.003,257.003,28.715,214.813,1.909,11.566,244.14,512.0,2100.0
scan,negsparse_q0059_m4m,negsparse,4000000,32768,1,0.1000,0.0000,0.00004,265.103,265.103,265.103,28.891,216.487,11.761,7.964,244.14,4096.0,2100.0
scan,negsparse_q0064_m50k,negsparse,50000,4096,1,1.0000,1.0000,0.00000,30.147,30.147,30.147,0.212,5.103,0.963,23.869,3.05,512.0,2100.0
scan,negsparse_q0064_m50k,negsparse,50000,32768,1,1.0000,1.0000,0.00000,20.221,20.221,20.221,0.220,5.948,9.333,4.721,3.05,4096.0,2100.0
scan,negsparse_q0064_m150k,negsparse,150000,4096,1,0.7000,0.0000,0.00003,36.590,36.590,36.590,0.630,13.124,1.468,21.368,9.16,512.0,2100.0
scan,negsparse_q0064_m150k,negsparse,150000,32768,1,0.4000,0.0000,0.00005,34.340,34.340,34.340,0.651,15.609,10.089,7.992,9.16,4096.0,2100.0
scan,negsparse_q0064_m300k,negsparse,300000,4096,1,0.3000,0.0000,0.00006,46.513,46.513,46.513,1.408,25.360,1.493,18.252,18.31,512.0,2100.0
scan,negsparse_q0064_m300k,negsparse,300000,32768,1,0.5000,0.0000,0.00003,46.747,46.747,46.747,1.437,27.662,10.788,6.859,18.31,4096.0,2100.0
scan,negsparse_q0064_m1m,negsparse,1000000,4096,1,0.3000,0.0000,0.00003,141.488,141.488,141.488,10.876,116.275,1.790,12.546,61.04,512.0,2100.0
scan,negsparse_q0064_m1m,negsparse,1000000,32768,1,0.2000,0.0000,0.00004,150.409,150.409,150.409,11.010,117.899,11.652,9.849,61.04,4096.0,2100.0
scan,negsparse_q0064_m2m,negsparse,2000000,4096,1,0.1000,0.0000,0.00004,227.694,227.694,227.694,16.815,194.171,1.733,14.975,122.07,512.0,2100.0
scan,negsparse_q0064_m2m,negsparse,2000000,32768,1,0.2000,0.0000,0.00002,228.424,228.424,228.424,16.441,192.818,12.026,7.139,122.07,4096.0,2100.0
scan,negsparse_q0064_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00006,259.062,259.062,259.062,28.949,216.742,1.859,11.513,244.14,512.0,2100.0
scan,negsparse_q0064_m4m,negsparse,4000000,32768,1,0.0000,0.0000,0.00002,264.633,264.633,264.633,28.536,216.344,12.051,7.703,244.14,4096.0,2100.0
scan,negsparse_q0073_m50k,negsparse,50000,4096,1,0.6000,0.0000,0.00008,30.243,30.243,30.243,0.210,4.978,0.862,24.193,3.05,512.0,2100.0
scan,negsparse_q0073_m50k,negsparse,50000,32768,1,0.8000,0.0000,0.00006,17.526,17.526,17.526,0.219,5.180,8.017,4.110,3.05,4096.0,2100.0
scan,negsparse_q0073_m150k,negsparse,150000,4096,1,0.8000,0.0000,0.00003,34.919,34.919,34.919,0.624,12.897,1.131,20.267,9.16,512.0,2100.0
scan,negsparse_q0073_m150k,negsparse,150000,32768,1,0.7000,0.0000,0.00005,34.046,34.046,34.046,0.657,15.694,8.942,8.753,9.16,4096.0,2100.0
scan,negsparse_q0073_m300k,negsparse,300000,4096,1,0.2000,0.0000,0.00008,47.300,47.300,47.300,1.486,25.441,1.478,18.896,18.31,512.0,2100.0
scan,negsparse_q0073_m300k,negsparse,300000,32768,1,0.2000,0.0000,0.00005,45.857,45.857,45.857,1.517,26.482,10.752,7.106,18.31,4096.0,2100.0
scan,negsparse_q0073_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00009,141.813,141.813,141.813,11.036,115.801,1.717,13.259,61.04,512.0,2100.0
scan,negsparse_q0073_m1m,negsparse,1000000,32768,1,0.2000,0.0000,0.00011,147.014,147.014,147.014,10.907,116.911,11.321,7.876,61.04,4096.0,2100.0
scan,negsparse_q0073_m2m,negsparse,2000000,4096,1,0.1000,0.0000,0.00007,221.965,221.965,221.965,16.735,193.047,1.752,10.431,122.07,512.0,2100.0
scan,negsparse_q0073_m2m,negsparse,2000000,32768,1,0.0000,0.0000,0.00005,231.287,231.287,231.287,16.963,193.327,12.000,8.997,122.07,4096.0,2100.0
scan,negsparse_q0073_m4m,negsparse,4000000,4096,1,0.0000,0.0000,0.00008,253.117,253.117,253.117,28.715,214.016,1.872,8.515,244.14,512.0,2100.0
scan,negsparse_q0073_m4m,negsparse,4000000,32768,1,0.0000,0.0000,0.00004,263.623,263.623,263.623,28.809,216.740,12.150,5.924,244.14,4096.0,2100.0
scan,negsparse_q0077_m50k,negsparse,50000,4096,1,0.8000,0.0000,0.00003,33.431,33.431,33.431,0.211,5.195,1.041,26.983,3.05,512.0,2100.0
scan,negsparse_q0077_m50k,negsparse,50000,32768,1,0.8000,0.0000,0.00005,22.849,22.849,22.849,0.223,7.365,9.114,6.147,3.05,4096.0,2100.0
scan,negsparse_q0077_m150k,negsparse,150000,4096,1,0.3000,0.0000,0.00008,32.402,32.402,32.402,0.629,13.390,1.367,17.015,9.16,512.0,2100.0
scan,negsparse_q0077_m150k,negsparse,150000,32768,1,0.3000,0.0000,0.00008,34.076,34.076,34.076,0.648,14.423,9.113,9.892,9.16,4096.0,2100.0
scan,negsparse_q0077_m300k,negsparse,300000,4096,1,0.0000,0.0000,0.00017,49.865,49.865,49.865,1.542,25.682,1.406,21.235,18.31,512.0,2100.0
scan,negsparse_q0077_m300k,negsparse,300000,32768,1,0.2000,0.0000,0.00009,49.416,49.416,49.416,1.560,28.368,10.685,8.803,18.31,4096.0,2100.0
scan,negsparse_q0077_m1m,negsparse,1000000,4096,1,0.1000,0.0000,0.00007,145.384,145.384,145.384,10.674,115.472,1.940,17.298,61.04,512.0,2100.0
scan,negsparse_q0077_m1m,negsparse,1000000,32768,1,0.0000,0.0000,0.00007,148.585,148.585,148.585,10.903,116.272,11.345,10.065,61.04,4096.0,2100.0
scan,negsparse_q0077_m2m,negsparse,2000000,4096,1,0.0000,0.0000,0.00008,224.491,224.491,224.491,16.506,192.197,1.854,13.934,122.07,512.0,2100.0
