dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,1,12,1.0000,1.0000,0.00000,0.895,1.029,1.109,0.887,1526.8,0.0,1298.3,104.8,3.0,4.0,112.0,29.7,610.8,1.8,46.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,2,12,1.0000,1.0000,0.00000,0.904,0.989,1.078,0.878,1526.8,0.0,1298.3,104.8,3.0,4.0,112.0,29.7,610.8,1.8,46.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,3,12,1.0000,1.0000,0.00000,0.904,0.989,1.085,0.881,1526.8,0.0,1298.3,104.8,3.0,4.0,112.0,29.7,610.8,1.8,46.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,64,1,12,1.0000,1.0000,0.00000,0.875,0.953,1.023,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,64,2,12,1.0000,1.0000,0.00000,0.859,0.917,1.022,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,64,3,12,1.0000,1.0000,0.00000,0.845,0.934,0.997,0.830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,1,12,1.0000,1.0000,0.00000,1.643,1.839,1.996,1.605,2729.7,0.0,2530.7,215.5,4.0,7.0,213.3,55.3,1288.5,3.3,115.08,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,2,12,1.0000,1.0000,0.00000,1.635,1.873,2.096,1.658,2729.7,0.0,2530.7,215.5,4.0,7.0,213.3,55.3,1288.5,3.3,115.08,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,3,12,1.0000,1.0000,0.00000,1.653,1.850,2.049,1.621,2729.7,0.0,2530.7,215.5,4.0,7.0,213.3,55.3,1288.5,3.3,115.08,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,128,1,12,1.0000,1.0000,0.00000,1.627,1.815,2.174,1.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,128,2,12,1.0000,1.0000,0.00000,1.731,1.872,2.285,1.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,128,3,12,1.0000,1.0000,0.00000,1.688,1.847,2.107,1.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,1,12,1.0000,1.0000,0.00000,3.091,3.718,3.827,2.940,4764.2,0.0,4797.4,435.2,7.0,12.0,394.7,119.0,2522.7,6.2,282.50,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,2,12,1.0000,1.0000,0.00000,3.073,3.778,3.843,2.965,4764.2,0.0,4797.4,435.2,7.0,12.0,394.7,119.0,2522.7,6.2,282.50,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,3,12,1.0000,1.0000,0.00000,3.107,3.875,3.968,3.088,4764.2,0.0,4797.4,435.2,7.0,12.0,394.7,119.0,2522.7,6.2,282.50,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,256,1,12,1.0000,1.0000,0.00000,2.881,3.347,3.462,2.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,256,2,12,1.0000,1.0000,0.00000,2.850,3.407,3.481,2.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,256,3,12,1.0000,1.0000,0.00000,2.836,3.344,3.534,2.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,1,12,1.0000,1.0000,0.00000,5.505,6.335,6.583,5.260,8174.6,0.0,9147.2,894.5,13.0,28.0,752.0,246.2,4867.8,11.8,631.92,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,2,12,1.0000,1.0000,0.00000,5.518,6.260,6.643,5.257,8174.6,0.0,9147.2,894.5,13.0,28.0,752.0,246.2,4867.8,11.8,631.92,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,3,12,1.0000,1.0000,0.00000,5.470,6.416,6.724,5.278,8174.6,0.0,9147.2,894.5,13.0,28.0,752.0,246.2,4867.8,11.8,631.92,pathseer:12
