dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,1,12,1.0000,1.0000,0.00000,1.257,1.563,2.137,1.273,2565.2,0.0,375.2,134.6,4.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,2,12,1.0000,1.0000,0.00000,1.260,1.551,2.157,1.276,2565.2,0.0,375.2,134.6,4.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,3,12,1.0000,1.0000,0.00000,1.266,1.556,2.199,1.281,2565.2,0.0,375.2,134.6,4.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,1,12,1.0000,1.0000,0.00000,2.668,3.568,4.907,2.657,5167.1,0.0,723.0,306.6,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,2,12,1.0000,1.0000,0.00000,2.635,3.684,4.855,2.663,5167.1,0.0,723.0,306.6,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,3,12,1.0000,1.0000,0.00000,2.625,3.587,4.739,2.631,5167.1,0.0,723.0,306.6,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,1,12,1.0000,1.0000,0.00000,5.252,8.413,8.623,5.112,9795.4,0.0,1430.5,670.7,11.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,2,12,1.0000,1.0000,0.00000,5.187,8.150,8.782,5.118,9795.4,0.0,1430.5,670.7,11.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,3,12,1.0000,1.0000,0.00000,5.366,8.189,8.563,5.105,9795.4,0.0,1430.5,670.7,11.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,1,12,1.0000,1.0000,0.00000,10.525,13.920,15.264,9.599,17977.6,0.0,2976.5,1456.5,22.0,51.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,2,12,1.0000,1.0000,0.00000,10.575,14.177,15.449,9.685,17977.6,0.0,2976.5,1456.5,22.0,51.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,3,12,1.0000,1.0000,0.00000,10.891,13.989,16.210,9.997,17977.6,0.0,2976.5,1456.5,22.0,51.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,1,12,0.9667,0.8333,0.00114,0.536,1.623,1.780,0.879,1380.2,10.0,4661.2,66.5,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,2,12,0.9667,0.8333,0.00114,0.547,1.668,1.799,0.891,1380.2,10.0,4661.2,66.5,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,3,12,0.9667,0.8333,0.00114,0.553,1.663,1.782,0.924,1380.2,10.0,4661.2,66.5,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,1,12,1.0000,1.0000,0.00000,0.981,2.994,3.067,1.577,2336.8,10.0,7821.6,130.2,6.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,2,12,1.0000,1.0000,0.00000,1.001,2.946,3.012,1.569,2336.8,10.0,7821.6,130.2,6.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,3,12,1.0000,1.0000,0.00000,0.986,2.987,3.025,1.554,2336.8,10.0,7821.6,130.2,6.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,1,12,1.0000,1.0000,0.00000,1.792,4.481,5.243,2.618,3898.6,10.0,12627.5,257.8,16.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,2,12,1.0000,1.0000,0.00000,1.867,4.607,5.254,2.632,3898.6,10.0,12627.5,257.8,16.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,3,12,1.0000,1.0000,0.00000,1.817,4.488,5.263,2.654,3898.6,10.0,12627.5,257.8,16.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,1,12,1.0000,1.0000,0.00000,3.400,7.640,8.835,4.607,6470.4,10.0,20377.7,513.5,36.0,34.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,2,12,1.0000,1.0000,0.00000,3.593,7.886,9.186,4.830,6470.4,10.0,20377.7,513.5,36.0,34.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,3,12,1.0000,1.0000,0.00000,3.506,7.201,9.004,4.598,6470.4,10.0,20377.7,513.5,36.0,34.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,1,12,1.0000,1.0000,0.00000,0.819,0.947,0.952,0.834,1504.5,0.0,1253.8,101.5,3.0,5.0,112.0,34.2,594.2,1.8,49.42,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,2,12,1.0000,1.0000,0.00000,0.828,0.934,0.978,0.828,1504.5,0.0,1253.8,101.5,3.0,5.0,112.0,34.2,594.2,1.8,49.42,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,3,12,1.0000,1.0000,0.00000,0.807,0.934,0.939,0.817,1504.5,0.0,1253.8,101.5,3.0,5.0,112.0,34.2,594.2,1.8,49.42,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,1,12,1.0000,1.0000,0.00000,1.524,1.721,1.888,1.534,2680.8,0.0,2376.5,205.7,4.0,6.0,181.3,64.2,1218.1,2.8,119.75,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,2,12,1.0000,1.0000,0.00000,1.643,1.703,1.899,1.579,2680.8,0.0,2376.5,205.7,4.0,6.0,181.3,64.2,1218.1,2.8,119.75,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,128,3,12,1.0000,1.0000,0.00000,1.535,1.681,1.852,1.531,2680.8,0.0,2376.5,205.7,4.0,6.0,181.3,64.2,1218.1,2.8,119.75,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,1,12,1.0000,1.0000,0.00000,2.755,3.173,3.253,2.739,4686.2,0.0,4501.6,418.6,6.0,12.0,341.3,133.2,2365.5,5.3,283.58,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,2,12,1.0000,1.0000,0.00000,2.745,3.217,3.360,2.769,4686.2,0.0,4501.6,418.6,6.0,12.0,341.3,133.2,2365.5,5.3,283.58,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,256,3,12,1.0000,1.0000,0.00000,2.750,3.288,3.303,2.759,4686.2,0.0,4501.6,418.6,6.0,12.0,341.3,133.2,2365.5,5.3,283.58,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,1,12,1.0000,1.0000,0.00000,5.131,6.045,6.142,5.101,8125.8,0.0,8804.2,875.2,11.0,28.0,688.0,264.8,4668.9,10.8,633.67,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,2,12,1.0000,1.0000,0.00000,5.264,6.051,6.181,5.172,8125.8,0.0,8804.2,875.2,11.0,28.0,688.0,264.8,4668.9,10.8,633.67,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,512,3,12,1.0000,1.0000,0.00000,5.370,6.042,6.084,5.083,8125.8,0.0,8804.2,875.2,11.0,28.0,688.0,264.8,4668.9,10.8,633.67,pathseer:12
beir500k-f32,pos10_cat01,pos10,50038,sweeping,64,1,22,1.0000,1.0000,0.00000,0.581,0.936,1.092,0.631,1364.6,0.0,228.0,71.9,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,64,2,22,1.0000,1.0000,0.00000,0.584,0.948,1.084,0.635,1364.6,0.0,228.0,71.9,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,64,3,22,1.0000,1.0000,0.00000,0.584,0.933,1.127,0.634,1364.6,0.0,228.0,71.9,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,128,1,22,1.0000,1.0000,0.00000,1.102,1.917,2.349,1.181,2415.8,0.0,381.9,144.5,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,128,2,22,1.0000,1.0000,0.00000,1.081,1.830,2.205,1.157,2415.8,0.0,381.9,144.5,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,128,3,22,1.0000,1.0000,0.00000,1.072,1.849,2.220,1.128,2415.8,0.0,381.9,144.5,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,256,1,22,1.0000,1.0000,0.00000,1.861,3.606,4.045,2.073,4302.1,0.0,665.7,293.3,11.0,14.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-f32,pos10_cat01,pos10,50038,sweeping,256,2,22,1.0000,1.0000,0.00000,1.897,3.638,4.214,2.101,4302.1,0.0,665.7,293.3,11.0,14.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
