dataset,filter,family,size,strategy,ef,pass,qrow,latency_ms,recall_at_10,nodes_popped,dist_comps,seed_dist_comps,filter_checks,pop_idx_cand_full,pop_idx_results_full,twohop_examined,twohop_appended,prefilter_skips,secondorder_allocs,reencountered_burned,strategy_selected
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,1,0.7172,1.00,75,1345,0,653,3,3,128,34,172,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,11,0.7825,1.00,99,1495,0,1320,3,3,128,36,638,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,58,1.0346,1.00,109,1860,0,1568,2,5,64,27,843,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,207,1.0187,1.00,133,1928,0,2118,3,11,128,1,1190,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,265,0.8682,1.00,112,1544,0,1688,4,13,192,0,884,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,826,1.0535,1.00,119,1983,0,1813,3,3,128,55,886,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,851,0.8435,1.00,168,1296,0,2676,2,6,64,29,1910,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,874,0.8717,1.00,116,1569,0,1655,3,8,128,2,906,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,881,0.7979,1.00,116,1438,0,1613,3,5,128,18,830,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,902,0.6969,1.00,82,1329,0,744,3,3,128,51,239,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,915,0.8007,1.00,90,1436,0,1021,3,3,128,50,448,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,980,1.0265,1.00,132,1969,0,2311,2,4,64,46,1492,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,1,0.7775,1.00,75,1345,0,653,3,3,128,34,172,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,11,0.8602,1.00,99,1495,0,1320,3,3,128,36,638,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,58,1.0388,1.00,109,1860,0,1568,2,5,64,27,843,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,207,1.0449,1.00,133,1928,0,2118,3,11,128,1,1190,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,265,0.8857,1.00,112,1544,0,1688,4,13,192,0,884,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,826,1.0758,1.00,119,1983,0,1813,3,3,128,55,886,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,851,0.8740,1.00,168,1296,0,2676,2,6,64,29,1910,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,874,0.8772,1.00,116,1569,0,1655,3,8,128,2,906,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,881,0.8053,1.00,116,1438,0,1613,3,5,128,18,830,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,902,0.7110,1.00,82,1329,0,744,3,3,128,51,239,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,915,0.8137,1.00,90,1436,0,1021,3,3,128,50,448,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,980,1.0386,1.00,132,1969,0,2311,2,4,64,46,1492,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,1,0.7301,1.00,75,1345,0,653,3,3,128,34,172,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,11,0.8022,1.00,99,1495,0,1320,3,3,128,36,638,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,58,1.0294,1.00,109,1860,0,1568,2,5,64,27,843,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,207,1.0355,1.00,133,1928,0,2118,3,11,128,1,1190,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,265,0.8653,1.00,112,1544,0,1688,4,13,192,0,884,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,826,1.1460,1.00,119,1983,0,1813,3,3,128,55,886,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,851,0.9794,1.00,168,1296,0,2676,2,6,64,29,1910,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,874,0.8880,1.00,116,1569,0,1655,3,8,128,2,906,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,881,0.8256,1.00,116,1438,0,1613,3,5,128,18,830,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,902,0.7332,1.00,82,1329,0,744,3,3,128,51,239,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,915,0.7976,1.00,90,1436,0,1021,3,3,128,50,448,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,980,1.0414,1.00,132,1969,0,2311,2,4,64,46,1492,1,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,1,1.2094,1.00,158,2226,0,1374,4,5,192,77,456,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,11,1.4598,1.00,194,2791,0,2470,4,5,192,54,1337,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,58,1.8260,1.00,234,3235,0,3245,4,8,192,41,1957,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,207,1.8882,1.00,295,3374,0,4595,5,17,256,8,2830,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,265,1.7720,1.00,246,3117,0,4120,8,18,448,0,2480,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,826,1.7705,1.00,220,3230,0,3007,5,5,256,87,1490,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,851,1.7079,1.00,386,2447,0,6075,4,10,192,78,4373,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,874,1.6531,1.00,260,2888,0,3688,5,14,256,17,2278,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,881,1.3468,1.00,204,2432,0,2527,4,6,192,50,1285,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,902,1.3648,1.00,180,2506,0,1647,4,4,192,78,684,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,915,1.4480,1.00,205,2620,0,2571,4,5,192,81,1418,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,980,2.0335,1.00,292,3739,0,5407,3,5,128,94,3794,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,1,1.2143,1.00,158,2226,0,1374,4,5,192,77,456,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,11,1.4450,1.00,194,2791,0,2470,4,5,192,54,1337,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,58,1.8796,1.00,234,3235,0,3245,4,8,192,41,1957,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,207,1.9061,1.00,295,3374,0,4595,5,17,256,8,2830,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,265,1.7616,1.00,246,3117,0,4120,8,18,448,0,2480,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,826,1.7672,1.00,220,3230,0,3007,5,5,256,87,1490,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,851,1.7117,1.00,386,2447,0,6075,4,10,192,78,4373,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,874,1.6519,1.00,260,2888,0,3688,5,14,256,17,2278,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,881,1.3906,1.00,204,2432,0,2527,4,6,192,50,1285,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,902,1.3851,1.00,180,2506,0,1647,4,4,192,78,684,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,915,1.4614,1.00,205,2620,0,2571,4,5,192,81,1418,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,980,2.0685,1.00,292,3739,0,5407,3,5,128,94,3794,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,1,1.2141,1.00,158,2226,0,1374,4,5,192,77,456,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,11,1.4587,1.00,194,2791,0,2470,4,5,192,54,1337,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,58,1.8168,1.00,234,3235,0,3245,4,8,192,41,1957,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,207,1.8815,1.00,295,3374,0,4595,5,17,256,8,2830,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,265,1.7648,1.00,246,3117,0,4120,8,18,448,0,2480,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,826,1.7746,1.00,220,3230,0,3007,5,5,256,87,1490,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,851,1.6897,1.00,386,2447,0,6075,4,10,192,78,4373,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,874,1.6533,1.00,260,2888,0,3688,5,14,256,17,2278,4,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,881,1.3535,1.00,204,2432,0,2527,4,6,192,50,1285,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,902,1.3752,1.00,180,2506,0,1647,4,4,192,78,684,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,915,1.4381,1.00,205,2620,0,2571,4,5,192,81,1418,3,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,980,2.0225,1.00,292,3739,0,5407,3,5,128,94,3794,2,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,1,2.2262,1.00,340,3932,0,2919,6,7,320,159,1210,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,11,2.8418,1.00,435,5290,0,5996,7,9,384,150,3706,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,58,3.2855,1.00,547,5486,0,7795,6,18,320,91,5181,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,207,3.4163,1.00,625,5666,0,10000,8,26,448,50,6744,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,265,3.4165,1.00,509,6025,0,8402,11,31,640,64,5477,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,826,2.9348,1.00,418,5237,0,5175,7,8,384,145,2715,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,851,3.1524,1.00,765,4520,0,11286,7,17,384,164,8050,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,874,3.4215,1.00,592,5792,0,8807,7,22,384,68,6057,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,881,2.2851,1.00,386,3925,0,4195,6,17,320,114,2107,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,902,2.4028,1.00,366,4279,0,3404,7,7,384,151,1625,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,915,2.5826,1.00,431,4601,0,5419,6,8,320,139,3194,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,980,3.9540,1.00,591,6779,0,10455,6,15,320,135,7365,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,1,2.4277,1.00,340,3932,0,2919,6,7,320,159,1210,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,11,3.0693,1.00,435,5290,0,5996,7,9,384,150,3706,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,58,3.3912,1.00,547,5486,0,7795,6,18,320,91,5181,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,207,3.4359,1.00,625,5666,0,10000,8,26,448,50,6744,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,265,3.4999,1.00,509,6025,0,8402,11,31,640,64,5477,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,826,2.9808,1.00,418,5237,0,5175,7,8,384,145,2715,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,851,3.2717,1.00,765,4520,0,11286,7,17,384,164,8050,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,874,3.4649,1.00,592,5792,0,8807,7,22,384,68,6057,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,881,2.3587,1.00,386,3925,0,4195,6,17,320,114,2107,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,902,2.4350,1.00,366,4279,0,3404,7,7,384,151,1625,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,915,2.5892,1.00,431,4601,0,5419,6,8,320,139,3194,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,980,3.8591,1.00,591,6779,0,10455,6,15,320,135,7365,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,1,2.4918,1.00,340,3932,0,2919,6,7,320,159,1210,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,11,3.4654,1.00,435,5290,0,5996,7,9,384,150,3706,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,58,3.9140,1.00,547,5486,0,7795,6,18,320,91,5181,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,207,3.9813,1.00,625,5666,0,10000,8,26,448,50,6744,7,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,265,3.7043,1.00,509,6025,0,8402,11,31,640,64,5477,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,826,3.1162,1.00,418,5237,0,5175,7,8,384,145,2715,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,851,3.2273,1.00,765,4520,0,11286,7,17,384,164,8050,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,874,3.4412,1.00,592,5792,0,8807,7,22,384,68,6057,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,881,2.3092,1.00,386,3925,0,4195,6,17,320,114,2107,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,902,2.4080,1.00,366,4279,0,3404,7,7,384,151,1625,6,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,915,2.5590,1.00,431,4601,0,5419,6,8,320,139,3194,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,980,4.0093,1.00,591,6779,0,10455,6,15,320,135,7365,5,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,1,4.0190,1.00,739,6556,0,6684,10,13,576,300,3340,9,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,11,5.3780,1.00,994,9280,0,14345,14,23,832,273,9575,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,58,6.4496,1.00,1309,9739,0,19003,11,28,640,231,13437,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,207,6.4585,1.00,1341,10044,0,20968,13,42,768,147,14738,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,265,6.4096,1.00,992,10997,0,15844,17,49,1024,180,10601,16,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,826,5.2677,1.00,788,9258,0,8541,11,17,640,304,4420,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,851,6.0740,1.00,1672,8059,0,24503,11,54,640,277,18259,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,874,6.1677,1.00,1214,9850,0,17864,14,34,832,185,12533,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,881,4.2416,1.00,785,6961,0,8201,15,32,896,268,4128,14,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,902,4.4408,1.00,797,7515,0,7973,12,18,704,306,4365,11,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,915,4.9397,1.00,907,8302,0,11015,13,22,768,305,6661,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,980,6.9065,1.00,1221,11368,0,21115,11,30,640,257,15211,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,1,4.0314,1.00,739,6556,0,6684,10,13,576,300,3340,9,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,11,5.4137,1.00,994,9280,0,14345,14,23,832,273,9575,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,58,6.4004,1.00,1309,9739,0,19003,11,28,640,231,13437,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,207,6.5434,1.00,1341,10044,0,20968,13,42,768,147,14738,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,265,6.4181,1.00,992,10997,0,15844,17,49,1024,180,10601,16,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,826,5.3684,1.00,788,9258,0,8541,11,17,640,304,4420,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,851,6.0293,1.00,1672,8059,0,24503,11,54,640,277,18259,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,874,6.2731,1.00,1214,9850,0,17864,14,34,832,185,12533,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,881,4.3240,1.00,785,6961,0,8201,15,32,896,268,4128,14,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,902,4.5609,1.00,797,7515,0,7973,12,18,704,306,4365,11,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,915,4.9092,1.00,907,8302,0,11015,13,22,768,305,6661,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,980,6.9365,1.00,1221,11368,0,21115,11,30,640,257,15211,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,1,3.9555,1.00,739,6556,0,6684,10,13,576,300,3340,9,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,11,5.4097,1.00,994,9280,0,14345,14,23,832,273,9575,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,58,6.3145,1.00,1309,9739,0,19003,11,28,640,231,13437,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,207,6.3967,1.00,1341,10044,0,20968,13,42,768,147,14738,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,265,6.4328,1.00,992,10997,0,15844,17,49,1024,180,10601,16,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,826,5.3585,1.00,788,9258,0,8541,11,17,640,304,4420,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,851,6.0108,1.00,1672,8059,0,24503,11,54,640,277,18259,10,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,874,6.2236,1.00,1214,9850,0,17864,14,34,832,185,12533,13,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,881,4.2542,1.00,785,6961,0,8201,15,32,896,268,4128,14,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,902,4.4443,1.00,797,7515,0,7973,12,18,704,306,4365,11,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,915,4.8101,1.00,907,8302,0,11015,13,22,768,305,6661,12,0,3
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,980,6.8927,1.00,1221,11368,0,21115,11,30,640,257,15211,10,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,106,0.5720,1.00,66,1148,0,322,2,2,64,61,6,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,116,0.6502,1.00,69,1299,0,442,2,2,64,48,53,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,170,0.7217,1.00,78,1543,0,661,3,4,128,16,214,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,171,0.6875,1.00,66,1525,0,374,2,2,64,59,0,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,203,0.5509,1.00,65,1099,0,367,3,3,128,86,0,2,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,225,0.4953,1.00,68,955,0,424,2,2,64,54,88,1,0,3
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,267,0.3247,1.00,69,915,0,413,2,2,64,56,10,1,0,3
