dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,1,12,1.0000,1.0000,0.00000,0.868,1.035,1.053,0.876,1599.3,0.0,1598.3,112.6,3.0,5.0,117.3,29.1,869.8,1.8,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,2,12,1.0000,1.0000,0.00000,0.877,1.045,1.076,0.900,1599.3,0.0,1598.3,112.6,3.0,5.0,117.3,29.1,869.8,1.8,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,64,3,12,1.0000,1.0000,0.00000,0.888,1.041,1.146,0.906,1599.3,0.0,1598.3,112.6,3.0,5.0,117.3,29.1,869.8,1.8,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,1,12,1.0000,1.0000,0.00000,1.708,1.888,2.033,1.623,2883.8,0.0,3393.8,239.5,4.0,6.0,224.0,55.4,2031.8,3.5,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,2,12,1.0000,1.0000,0.00000,1.712,1.906,2.069,1.637,2883.8,0.0,3393.8,239.5,4.0,6.0,224.0,55.4,2031.8,3.5,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,128,3,12,1.0000,1.0000,0.00000,1.690,1.881,2.022,1.620,2883.8,0.0,3393.8,239.5,4.0,6.0,224.0,55.4,2031.8,3.5,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,1,12,1.0000,1.0000,0.00000,3.152,3.422,3.954,2.993,5127.7,0.0,6987.8,500.4,7.0,17.0,384.0,119.2,4452.6,6.0,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,2,12,1.0000,1.0000,0.00000,3.272,3.500,3.859,3.065,5127.7,0.0,6987.8,500.4,7.0,17.0,384.0,119.2,4452.6,6.0,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,256,3,12,1.0000,1.0000,0.00000,3.441,3.981,4.009,3.219,5127.7,0.0,6987.8,500.4,7.0,17.0,384.0,119.2,4452.6,6.0,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,1,12,1.0000,1.0000,0.00000,6.074,6.458,6.906,5.563,8994.1,0.0,14671.3,1063.2,13.0,30.0,746.7,252.8,9772.3,11.7,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,2,12,1.0000,1.0000,0.00000,6.029,6.543,6.936,5.601,8994.1,0.0,14671.3,1063.2,13.0,30.0,746.7,252.8,9772.3,11.7,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer-reorder,512,3,12,1.0000,1.0000,0.00000,6.011,6.433,6.893,5.542,8994.1,0.0,14671.3,1063.2,13.0,30.0,746.7,252.8,9772.3,11.7,0.00,pathseer:12
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,1,22,1.0000,1.0000,0.00000,0.600,0.791,0.806,0.598,1286.4,0.0,455.6,69.4,2.0,2.0,78.5,50.3,66.8,1.2,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,2,22,1.0000,1.0000,0.00000,0.599,0.798,0.801,0.597,1286.4,0.0,455.6,69.4,2.0,2.0,78.5,50.3,66.8,1.2,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,64,3,22,1.0000,1.0000,0.00000,0.595,0.781,0.790,0.588,1286.4,0.0,455.6,69.4,2.0,2.0,78.5,50.3,66.8,1.2,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,128,1,22,1.0000,1.0000,0.00000,1.068,1.428,1.525,1.050,2201.9,0.0,904.4,139.5,3.0,3.0,145.5,89.4,196.6,2.3,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,128,2,22,1.0000,1.0000,0.00000,1.046,1.401,1.459,1.030,2201.9,0.0,904.4,139.5,3.0,3.0,145.5,89.4,196.6,2.3,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,128,3,22,1.0000,1.0000,0.00000,1.038,1.397,1.451,1.032,2201.9,0.0,904.4,139.5,3.0,3.0,145.5,89.4,196.6,2.3,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,256,1,22,1.0000,1.0000,0.00000,1.876,2.480,2.619,1.880,3787.0,0.0,1790.4,283.0,5.0,5.0,267.6,158.5,503.8,4.2,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,256,2,22,1.0000,1.0000,0.00000,1.879,2.490,2.608,1.891,3787.0,0.0,1790.4,283.0,5.0,5.0,267.6,158.5,503.8,4.2,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,256,3,22,1.0000,1.0000,0.00000,1.871,2.477,2.571,1.872,3787.0,0.0,1790.4,283.0,5.0,5.0,267.6,158.5,503.8,4.2,0.00,pathseer:22
