dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,64,1,12,0.9917,0.9167,0.00002,1.064,1.275,1.962,1.111,1693.6,10.0,2931.8,183.1,3.0,11.0,122.7,18.2,1951.5,1.9,109.83,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,64,2,12,0.9917,0.9167,0.00002,1.127,1.286,1.806,1.109,1693.6,10.0,2931.8,183.1,3.0,11.0,122.7,18.2,1951.5,1.9,109.83,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,64,3,12,0.9917,0.9167,0.00002,1.068,1.308,1.847,1.109,1693.6,10.0,2931.8,183.1,3.0,11.0,122.7,18.2,1951.5,1.9,109.83,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,128,1,12,1.0000,1.0000,0.00000,2.070,2.483,4.475,2.107,3034.6,10.0,5587.0,396.8,4.0,22.0,218.7,46.3,3701.2,3.4,237.67,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,128,2,12,1.0000,1.0000,0.00000,2.050,2.456,4.423,2.076,3034.6,10.0,5587.0,396.8,4.0,22.0,218.7,46.3,3701.2,3.4,237.67,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,128,3,12,1.0000,1.0000,0.00000,2.068,2.508,4.529,2.097,3034.6,10.0,5587.0,396.8,4.0,22.0,218.7,46.3,3701.2,3.4,237.67,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,256,1,12,1.0000,1.0000,0.00000,3.591,5.687,8.345,3.912,5191.8,10.0,9839.0,779.2,7.0,47.0,400.0,88.1,6442.0,6.2,484.42,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,256,2,12,1.0000,1.0000,0.00000,3.531,4.509,7.601,3.703,5191.8,10.0,9839.0,779.2,7.0,47.0,400.0,88.1,6442.0,6.2,484.42,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,256,3,12,1.0000,1.0000,0.00000,3.531,4.532,7.493,3.705,5191.8,10.0,9839.0,779.2,7.0,47.0,400.0,88.1,6442.0,6.2,484.42,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,512,1,12,1.0000,1.0000,0.00000,6.417,8.864,13.729,6.827,8978.5,10.0,18043.1,1631.0,15.0,103.0,869.3,173.8,11399.3,13.6,949.17,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,512,2,12,1.0000,1.0000,0.00000,6.467,8.823,13.599,6.791,8978.5,10.0,18043.1,1631.0,15.0,103.0,869.3,173.8,11399.3,13.6,949.17,pathseer:12
beir500k-f32,neg10_cat00,neg10,63950,pathseer-seeded,512,3,12,1.0000,1.0000,0.00000,6.570,8.932,13.904,6.906,8978.5,10.0,18043.1,1631.0,15.0,103.0,869.3,173.8,11399.3,13.6,949.17,pathseer:12
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,64,1,22,0.9727,0.7273,0.00034,8.054,12.158,14.578,7.570,6310.9,10.0,27939.4,3566.0,3.0,389.0,145.5,4.4,18884.6,2.3,385.59,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,64,2,22,0.9727,0.7273,0.00034,7.849,11.955,13.449,7.367,6310.9,10.0,27939.4,3566.0,3.0,389.0,145.5,4.4,18884.6,2.3,385.59,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,64,3,22,0.9727,0.7273,0.00034,8.659,12.765,14.360,7.621,6310.9,10.0,27939.4,3566.0,3.0,389.0,145.5,4.4,18884.6,2.3,385.59,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,128,1,22,0.9909,0.9091,0.00007,12.135,20.291,20.850,12.370,10615.0,10.0,40601.7,5861.0,5.0,731.0,285.1,7.5,25571.5,4.5,675.18,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,128,2,22,0.9909,0.9091,0.00007,12.162,19.661,20.289,12.238,10615.0,10.0,40601.7,5861.0,5.0,731.0,285.1,7.5,25571.5,4.5,675.18,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,128,3,22,0.9909,0.9091,0.00007,12.039,19.636,21.195,12.308,10615.0,10.0,40601.7,5861.0,5.0,731.0,285.1,7.5,25571.5,4.5,675.18,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,256,1,22,0.9955,0.9545,0.00006,20.996,28.785,29.391,19.726,17388.2,10.0,58322.8,9225.5,11.0,1365.0,631.3,14.9,34158.8,9.9,1110.86,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,256,2,22,0.9955,0.9545,0.00006,21.521,28.721,29.116,19.505,17388.2,10.0,58322.8,9225.5,11.0,1365.0,631.3,14.9,34158.8,9.9,1110.86,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,256,3,22,0.9955,0.9545,0.00006,21.191,29.168,29.252,19.618,17388.2,10.0,58322.8,9225.5,11.0,1365.0,631.3,14.9,34158.8,9.9,1110.86,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,512,1,22,0.9955,0.9545,0.00006,32.780,40.319,41.099,29.868,26952.7,10.0,82054.0,13715.9,23.0,2665.0,1480.7,32.6,45342.2,23.1,1829.73,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,512,2,22,0.9955,0.9545,0.00006,31.879,39.632,40.612,29.526,26952.7,10.0,82054.0,13715.9,23.0,2665.0,1480.7,32.6,45342.2,23.1,1829.73,pathseer:22
beir500k-f32,neg10_cat01,neg10,61585,pathseer-seeded,512,3,22,0.9955,0.9545,0.00006,31.931,40.272,40.598,29.635,26952.7,10.0,82054.0,13715.9,23.0,2665.0,1480.7,32.6,45342.2,23.1,1829.73,pathseer:22
beir500k-f32,neg10_cat02,neg10,55947,pathseer-seeded,64,1,60,0.9433,0.5833,0.00088,4.829,13.516,15.124,6.040,5458.9,10.0,24805.7,2483.9,3.0,110.0,119.5,7.4,17923.2,1.9,274.75,pathseer:60
beir500k-f32,neg10_cat02,neg10,55947,pathseer-seeded,64,2,60,0.9433,0.5833,0.00088,4.863,13.605,14.871,5.975,5458.9,10.0,24805.7,2483.9,3.0,110.0,119.5,7.4,17923.2,1.9,274.75,pathseer:60
beir500k-f32,neg10_cat02,neg10,55947,pathseer-seeded,64,3,60,0.9433,0.5833,0.00088,4.544,13.873,15.817,6.023,5458.9,10.0,24805.7,2483.9,3.0,110.0,119.5,7.4,17923.2,1.9,274.75,pathseer:60
beir500k-f32,neg10_cat02,neg10,55947,pathseer-seeded,128,1,60,0.9783,0.8000,0.00024,8.989,21.817,22.597,10.458,9658.0,10.0,36269.4,4391.3,4.0,245.0,212.3,11.1,24156.2,3.3,484.65,pathseer:60
beir500k-f32,neg10_cat02,neg10,55947,pathseer-seeded,128,2,60,0.9783,0.8000,0.00024,8.990,21.346,22.195,10.299,9658.0,10.0,36269.4,4391.3,4.0,245.0,212.3,11.1,24156.2,3.3,484.65,pathseer:60
