dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,64,1,200,0.8460,0.2700,0.00096,232.118,607.466,727.942,258.408,742155.6,0.0,139751.0,58178.6,3.0,1850.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,64,2,200,0.8460,0.2700,0.00096,221.128,607.942,688.693,259.449,742155.6,0.0,139751.0,58178.6,3.0,1850.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,64,3,200,0.8460,0.2700,0.00096,218.197,599.187,681.553,252.492,742155.6,0.0,139751.0,58178.6,3.0,1850.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,128,1,200,0.9225,0.5400,0.00036,370.995,917.799,1018.708,414.545,1154222.1,0.0,234054.7,99215.2,4.0,3770.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,128,2,200,0.9225,0.5400,0.00036,359.334,912.870,1034.913,411.593,1154222.1,0.0,234054.7,99215.2,4.0,3770.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,sweeping,128,3,200,0.9225,0.5400,0.00036,385.520,962.832,1103.195,421.482,1154222.1,0.0,234054.7,99215.2,4.0,3770.0,0.0,0.0,0.0,0.0,0.00,sweeping:200
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,64,1,1000,0.4070,0.0440,0.01244,7.059,9.214,10.504,6.972,2805.6,10.0,66931.6,71.5,4.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,64,2,1000,0.4070,0.0440,0.01244,7.046,9.158,10.139,6.945,2805.6,10.0,66931.6,71.5,4.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,64,3,1000,0.4070,0.0440,0.01244,7.034,9.204,10.183,6.947,2805.6,10.0,66931.6,71.5,4.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,128,1,1000,0.5132,0.0850,0.00865,12.323,15.427,16.685,12.155,4756.4,10.0,113548.2,134.5,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,128,2,1000,0.5132,0.0850,0.00865,12.260,15.397,16.507,12.062,4756.4,10.0,113548.2,134.5,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,128,3,1000,0.5132,0.0850,0.00865,12.423,15.674,16.915,12.292,4756.4,10.0,113548.2,134.5,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,acorn,256,1,1000,0.6139,0.1260,0.00589,21.715,26.148,27.621,21.322,8020.1,10.0,192405.3,260.9,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:1000
