dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,1,12,1.0000,1.0000,0.00000,0.459,0.574,0.899,0.467,2828.9,0.0,380.5,140.5,4.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,2,12,1.0000,1.0000,0.00000,0.455,0.557,0.907,0.470,2828.9,0.0,380.5,140.5,4.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,3,12,1.0000,1.0000,0.00000,0.456,0.568,0.909,0.480,2828.9,0.0,380.5,140.5,4.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,1,12,1.0000,1.0000,0.00000,1.024,1.365,1.895,1.025,5553.7,0.0,740.7,313.1,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,2,12,1.0000,1.0000,0.00000,1.009,1.317,2.037,1.026,5553.7,0.0,740.7,313.1,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,3,12,1.0000,1.0000,0.00000,1.094,1.457,2.021,1.108,5553.7,0.0,740.7,313.1,6.0,12.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,1,12,1.0000,1.0000,0.00000,2.431,3.108,3.377,2.160,10321.5,0.0,1558.8,673.8,12.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,2,12,1.0000,1.0000,0.00000,2.410,3.214,3.585,2.280,10321.5,0.0,1558.8,673.8,12.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,3,12,1.0000,1.0000,0.00000,2.333,3.124,3.450,2.236,10321.5,0.0,1558.8,673.8,12.0,23.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,1,12,1.0000,1.0000,0.00000,5.764,8.139,8.288,5.447,19516.9,0.0,3227.6,1485.8,22.0,57.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,2,12,1.0000,1.0000,0.00000,4.934,6.927,7.213,4.951,19516.9,0.0,3227.6,1485.8,22.0,57.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,3,12,1.0000,1.0000,0.00000,4.750,6.627,6.781,4.664,19516.9,0.0,3227.6,1485.8,22.0,57.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,1,12,1.0000,1.0000,0.00000,0.733,0.972,1.206,0.592,1698.6,10.0,6538.6,66.0,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,2,12,1.0000,1.0000,0.00000,0.729,0.979,1.203,0.586,1698.6,10.0,6538.6,66.0,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,3,12,1.0000,1.0000,0.00000,0.749,0.965,1.204,0.588,1698.6,10.0,6538.6,66.0,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,1,12,1.0000,1.0000,0.00000,1.389,1.883,2.036,1.082,2818.8,10.0,10479.6,129.8,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,2,12,1.0000,1.0000,0.00000,1.399,1.897,2.137,1.129,2818.8,10.0,10479.6,129.8,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,3,12,1.0000,1.0000,0.00000,1.314,1.919,1.985,1.054,2818.8,10.0,10479.6,129.8,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,1,12,1.0000,1.0000,0.00000,1.903,3.184,3.428,1.775,4602.7,10.0,16369.3,257.7,14.0,13.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,2,12,1.0000,1.0000,0.00000,2.130,3.326,3.533,1.884,4602.7,10.0,16369.3,257.7,14.0,13.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,3,12,1.0000,1.0000,0.00000,1.902,3.545,3.612,1.924,4602.7,10.0,16369.3,257.7,14.0,13.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,1,12,1.0000,1.0000,0.00000,4.172,5.615,5.863,3.372,7494.2,10.0,25825.8,513.6,34.0,31.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,2,12,1.0000,1.0000,0.00000,4.155,5.710,5.889,3.412,7494.2,10.0,25825.8,513.6,34.0,31.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,3,12,1.0000,1.0000,0.00000,4.331,5.671,5.956,3.433,7494.2,10.0,25825.8,513.6,34.0,31.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:6
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,1,12,1.0000,1.0000,0.00000,0.330,0.350,0.404,0.325,1576.2,0.0,1295.6,100.3,3.0,3.0,133.3,45.4,616.2,2.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,2,12,1.0000,1.0000,0.00000,0.331,0.364,0.443,0.331,1576.2,0.0,1295.6,100.3,3.0,3.0,133.3,45.4,616.2,2.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,3,12,1.0000,1.0000,0.00000,0.330,0.347,0.402,0.325,1576.2,0.0,1295.6,100.3,3.0,3.0,133.3,45.4,616.2,2.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,1,12,1.0000,1.0000,0.00000,0.634,0.766,0.799,0.641,2809.7,0.0,2543.4,208.5,4.0,6.0,197.3,68.3,1327.2,3.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,2,12,1.0000,1.0000,0.00000,0.643,0.702,0.798,0.636,2809.7,0.0,2543.4,208.5,4.0,6.0,197.3,68.3,1327.2,3.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,3,12,1.0000,1.0000,0.00000,0.670,0.698,0.756,0.628,2809.7,0.0,2543.4,208.5,4.0,6.0,197.3,68.3,1327.2,3.1,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,1,12,1.0000,1.0000,0.00000,1.394,1.585,1.590,1.352,4922.2,0.0,4795.5,424.8,7.0,13.0,362.7,119.7,2532.1,5.7,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,2,12,1.0000,1.0000,0.00000,1.338,1.462,1.484,1.243,4922.2,0.0,4795.5,424.8,7.0,13.0,362.7,119.7,2532.1,5.7,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,3,12,1.0000,1.0000,0.00000,1.391,1.691,1.729,1.402,4922.2,0.0,4795.5,424.8,7.0,13.0,362.7,119.7,2532.1,5.7,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,1,12,1.0000,1.0000,0.00000,3.021,3.325,3.801,2.858,8714.5,0.0,9565.9,896.1,13.0,29.0,736.0,239.3,5137.7,11.5,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,2,12,1.0000,1.0000,0.00000,2.779,3.045,3.062,2.613,8714.5,0.0,9565.9,896.1,13.0,29.0,736.0,239.3,5137.7,11.5,0.00,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,3,12,1.0000,1.0000,0.00000,2.780,3.090,3.183,2.640,8714.5,0.0,9565.9,896.1,13.0,29.0,736.0,239.3,5137.7,11.5,0.00,pathseer:12
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,1,22,0.9909,0.9091,0.00014,0.251,0.389,0.391,0.264,1427.0,0.0,240.6,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,2,22,0.9909,0.9091,0.00014,0.254,0.387,0.395,0.265,1427.0,0.0,240.6,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,3,22,0.9909,0.9091,0.00014,0.255,0.385,0.397,0.263,1427.0,0.0,240.6,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,1,22,1.0000,1.0000,0.00000,0.459,0.651,0.796,0.476,2509.2,0.0,393.7,144.1,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,2,22,1.0000,1.0000,0.00000,0.473,0.709,0.920,0.511,2509.2,0.0,393.7,144.1,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,3,22,1.0000,1.0000,0.00000,0.457,0.678,0.845,0.485,2509.2,0.0,393.7,144.1,6.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,1,22,1.0000,1.0000,0.00000,0.917,1.451,1.837,0.972,4461.2,0.0,682.0,292.8,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,2,22,1.0000,1.0000,0.00000,0.915,1.514,1.813,0.983,4461.2,0.0,682.0,292.8,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,3,22,1.0000,1.0000,0.00000,0.905,1.449,1.763,0.967,4461.2,0.0,682.0,292.8,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
