timestamp,dataset,index,config,param,queries,k,recall,p50_ms,p95_ms,p99_ms,qps,build_s,settle_s,heap_total_mib,vectors_mib,index_mib,disk_mib,notes
2026-07-30T17:20:52+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",16,10000,10,0.8851,0.441,0.673,0.854,2157.48,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:20:59+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",32,10000,10,0.9427,0.692,1.013,1.188,1393.93,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:21:11+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",64,10000,10,0.9705,1.157,1.688,1.878,848.14,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:21:31+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",128,10000,10,0.9848,1.977,2.975,3.250,495.43,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:22:07+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",256,10000,10,0.9918,3.510,5.468,6.066,277.46,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:23:13+02:00,dbpedia-openai-1000k-angular.bin,hnsw,"uncompressed maxConn=32 efC=128 cache=all",512,10000,10,0.9953,6.393,9.961,11.099,152.84,462.8,0.0,6276.7,5800.8,475.9,0.0,"parallel build; graph=heap-delta minus vectors"
2026-07-30T17:27:28+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",16,10000,10,0.8245,2.515,5.094,7.672,349.98,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
2026-07-30T17:28:04+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",32,10000,10,0.8774,3.204,6.158,10.200,273.34,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
2026-07-30T17:28:57+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",64,10000,10,0.9134,4.706,8.859,16.123,190.05,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
2026-07-30T17:30:06+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",128,10000,10,0.9433,5.884,12.615,18.456,145.66,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
2026-07-30T17:31:47+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",256,10000,10,0.9661,9.843,12.891,16.425,98.63,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
2026-07-30T17:34:52+02:00,dbpedia-openai-1000k-angular.bin,hfresh,"defaults",512,10000,10,0.9811,18.082,22.897,28.138,54.18,218.6,3.2,2330.6,0.0,0.0,5174.1,"parallel ingest; async tasks settled before measurement"
