width_bits,bytes_per_vector,rescore_window,recall_at_10,bytes_per_query,scan_ms,rescore_ms,total_ms,vectors_per_ms
1536,192,75,0.9895,190080000,14.289,0.049,14.342,69284
1536,192,50,0.9766,190080000,14.265,0.030,14.297,69401
1024,128,150,0.9877,126720000,9.663,0.088,9.756,102453
1024,128,75,0.9660,126720000,9.662,0.045,9.711,102463
768,96,200,0.9806,95040000,7.351,0.116,7.472,134676
768,96,100,0.9540,95040000,7.319,0.060,7.382,135264
512,64,750,0.9862,63360000,5.064,0.427,5.499,195498
512,64,250,0.9543,63360000,5.105,0.150,5.266,193928
384,48,1500,0.9839,47520000,3.928,0.848,4.787,252037
384,48,500,0.9514,47520000,3.951,0.294,4.262,250569
256,32,5000,0.9809,31680000,2.901,2.772,5.681,341262
256,32,2500,0.9632,31680000,2.852,1.441,4.310,347125
192,24,20000,0.9870,23760000,2.720,10.910,13.639,363971
192,24,5000,0.9514,23760000,2.366,2.885,5.258,418428
