timestamp,dataset,config,rotate,center,retained,queries,k,depth,p50_worst,p95_worst,p99_worst,max_worst,p50_exp,p95_exp,p99_exp,max_exp
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,64,71055,447498,634971,902843,58115,403104,588314,879646
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,128,7843,145211,230227,593817,6536,128802,206899,560039
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,192,1684,48766,109523,188959,1433,43278,99460,173297
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,256,610,17170,41378,121306,543,15300,37002,112553
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,320,371,6862,16230,35452,332,6189,14769,32774
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,384,224,3557,9612,28306,205,3269,8846,26168
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,448,160,2082,4198,9057,147,1894,3919,8377
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,512,121,1456,3806,9892,113,1335,3545,9211
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,576,92,1109,2717,7313,86,1033,2532,6838
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,640,79,908,2059,3213,75,849,1906,3034
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,704,68,565,1551,2662,64,535,1478,2517
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,768,55,467,1234,1885,52,445,1171,1782
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,832,51,374,716,2347,49,356,677,2219
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,896,45,322,728,1749,44,309,694,1659
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,960,41,253,657,1265,39,243,628,1208
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1024,37,220,444,1183,36,210,428,1129
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1088,35,192,345,717,34,183,330,687
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1152,32,155,324,825,31,150,310,795
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1216,30,140,269,570,29,133,259,548
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1280,29,136,244,456,28,133,233,437
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1344,28,121,261,719,27,116,250,690
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1408,27,123,240,445,26,117,229,434
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1472,24,117,186,374,23,114,179,365
2026-07-30T13:47:33+02:00,dbpedia-openai-1000k-angular.bin,center+rotate,true,true,1536,400,10,1536,24,102,213,389,23,99,207,379
