timestamp,dataset,mode,config,n,dims,retained,rotate,center,seed,budgets,rescore,queries,k,recall,block0_p50_ms,block0_p95_ms,block0_p99_ms,rest_p50_ms,rest_p95_ms,rest_p99_ms,rescore_p50_ms,rescore_p95_ms,rescore_p99_ms,total_p50_ms,total_p95_ms,total_p99_ms,avg_survivors,bytes_per_vec,store_bytes,float_bytes,bytes_read_per_query,bandwidth_gib_s,qps,gen_quantile,block_modes,stream_gib_s,gather_gib_s
2026-07-30T16:38:51+02:00,dbpedia-openai-1000k-angular.bin,full,center+rotate,990000,1536,1536,true,true,6006312134741963231,"100000,20000,5000,1500,600,350",150,10000,10,0.9973,0.486,0.508,0.534,13.784,14.209,14.805,0.087,0.092,0.102,14.360,14.798,15.394,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",192,190080000,6082560000,190080000,12.342,69.27,0.00,,0.00,0.00
2026-07-30T16:39:46+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1536,true,true,6006312134741963231,"58115,6536,1433,543,332,205,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150",150,10000,10,0.8030,2.324,2.371,2.436,0.433,0.484,0.535,0.085,0.092,0.102,2.844,2.921,3.053,"58115.0;6536.0;1433.0;543.0;332.0;205.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0",192,190080000,6082560000,11674667,3.930,349.09,0.50,SGGGGGGGGGGGGGGGGGGGGGGG,15.53,13.92
2026-07-30T16:41:01+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1536,true,true,6006312134741963231,"164901,28437,7123,2485,1101,660,434,290,223,172,150,150,150,150,150,150,150,150,150,150,150,150,150,150",150,10000,10,0.9117,3.263,3.321,3.424,1.353,1.425,1.657,0.086,0.092,0.102,4.704,4.826,5.109,"164901.0;28437.0;7123.0;2485.0;1101.0;660.0;434.0;290.0;223.0;172.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0",192,190080000,6082560000,18397312,3.696,211.38,0.75,SSGGGGGGGGGGGGGGGGGGGGGG,13.94,11.15
2026-07-30T16:42:27+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1536,true,true,6006312134741963231,"307481,73914,20787,8295,3573,1826,1139,849,615,464,299,277,220,180,150,150,150,150,150,150,150,150,150,150",150,10000,10,0.9610,3.593,3.682,3.785,2.283,2.437,2.604,0.086,0.093,0.102,5.961,6.212,6.427,"307481.0;73914.0;20787.0;8295.0;3573.0;1826.0;1139.0;849.0;615.0;464.0;299.0;277.0;220.0;180.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0",192,190080000,6082560000,21939741,3.462,166.39,0.90,SSGGGGGGGGGGGGGGGGGGGGGG,13.94,11.12
2026-07-30T16:44:06+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1536,true,true,6006312134741963231,"403104,128802,43278,15300,6189,3269,1894,1335,1033,849,535,445,356,309,243,210,183,150,150,150,150,150,150,150",150,10000,10,0.9783,3.477,3.641,3.866,3.439,4.124,4.488,0.089,0.099,0.115,7.017,7.775,8.266,"403104.0;128802.0;43278.0;15300.0;6189.0;3269.0;1894.0;1335.0;1033.0;849.0;535.0;445.0;356.0;309.0;243.0;210.0;183.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0",192,190080000,6082560000,28191629,3.735,140.17,0.95,SSSGGGGGGGGGGGGGGGGGGGGG,12.96,9.98
2026-07-30T16:46:01+02:00,dbpedia-openai-1000k-angular.bin,full,center+rotate,990000,1536,1024,true,true,6006312134741963231,"100000,20000,5000,1500,600,350",200,10000,10,0.9923,0.491,0.533,0.588,9.451,10.214,10.629,0.118,0.136,0.155,10.073,10.836,11.261,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",128,126720000,6082560000,126720000,11.695,97.85,0.00,,0.00,0.00
2026-07-30T16:46:52+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1024,true,true,6006312134741963231,"58115,6536,1433,543,332,205,200,200,200,200,200,200,200,200,200,200",200,10000,10,0.8068,2.345,2.447,2.518,0.488,0.560,0.628,0.117,0.134,0.149,2.954,3.105,3.218,"58115.0;6536.0;1433.0;543.0;332.0;205.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0",128,126720000,6082560000,11626671,3.792,334.66,0.50,SGGGGGGGGGGGGGGG,15.27,11.06
2026-07-30T16:48:03+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1024,true,true,6006312134741963231,"164901,28437,7123,2485,1101,660,434,290,223,200,200,200,200,200,200,200",200,10000,10,0.9146,3.307,3.436,3.593,1.396,1.710,1.889,0.118,0.138,0.154,4.848,5.203,5.447,"164901.0;28437.0;7123.0;2485.0;1101.0;660.0;434.0;290.0;223.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0",128,126720000,6082560000,18338330,3.575,203.72,0.75,SSGGGGGGGGGGGGGG,13.16,9.61
2026-07-30T16:49:27+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1024,true,true,6006312134741963231,"307481,73914,20787,8295,3573,1826,1139,849,615,464,299,277,220,200,200,200",200,10000,10,0.9628,3.638,3.770,3.882,2.387,2.675,2.873,0.119,0.138,0.156,6.162,6.509,6.759,"307481.0;73914.0;20787.0;8295.0;3573.0;1826.0;1139.0;849.0;615.0;464.0;299.0;277.0;220.0;200.0;200.0;200.0",128,126720000,6082560000,21867473,3.348,160.56,0.90,SSGGGGGGGGGGGGGG,13.26,9.60
2026-07-30T16:51:00+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,1024,true,true,6006312134741963231,"403104,128802,43278,15300,6189,3269,1894,1335,1033,849,535,445,356,309,243,210",200,10000,10,0.9791,3.517,3.648,3.756,3.513,4.232,4.518,0.121,0.139,0.159,7.175,7.887,8.263,"403104.0;128802.0;43278.0;15300.0;6189.0;3269.0;1894.0;1335.0;1033.0;849.0;535.0;445.0;356.0;309.0;243.0;210.0",128,126720000,6082560000,28108940,3.659,137.13,0.95,SSSGGGGGGGGGGGGG,12.37,9.39
