timestamp,dataset,index,config,param,queries,k,recall,p50_ms,p95_ms,p99_ms,qps,build_s,settle_s,heap_total_mib,vectors_mib,index_mib,disk_mib,notes
2026-08-07T18:53:21+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",16,10000,10,0.8833,0.209,0.312,0.386,4620.30,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T18:53:25+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",32,10000,10,0.9405,0.325,0.468,0.547,3005.64,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T18:53:30+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",64,10000,10,0.9670,0.538,0.774,0.868,1822.96,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:09:54+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",128,10000,10,0.9815,0.920,1.365,1.540,1040.65,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:10:10+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",256,10000,10,0.9882,1.571,2.377,2.599,619.55,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:10:39+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=0",512,10000,10,0.9914,2.810,4.224,4.638,349.89,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:10:41+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=100",16,10000,10,0.8849,0.227,0.324,0.392,4289.20,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:10:45+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=100",32,10000,10,0.9429,0.362,0.499,0.567,2712.90,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:10:51+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=100",64,10000,10,0.9699,0.605,0.842,0.936,1625.05,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
2026-08-07T19:24:32+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq8 build=1536 query=1536 centered 1552B/code rescore=100",128,10000,10,0.9848,1.057,1.524,1.704,915.76,145.6,0.0,2589.2,1465.3,198.9,0.0,"graph: 31870428 edges, 95611271 conn bytes, 112920432 overhead bytes"
