timestamp,dataset,config,rotate,center,retained,queries,k,depth,p50_worst,p95_worst,p99_worst,max_worst,p50_exp,p95_exp,p99_exp,max_exp
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,64,42893,371235,544127,552816,35032,331306,497042,506375
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,128,5169,130889,242206,398209,4216,116124,218953,366690
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,192,1249,84751,145900,190457,1082,77284,133986,176068
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,256,522,38463,85947,111487,482,35036,79490,104401
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,320,290,16055,35745,59338,261,14622,32857,54981
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,384,180,7564,14320,45774,163,6919,13197,42947
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,448,152,5627,11990,25991,141,5172,11130,24406
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,512,121,4125,7004,19412,109,3781,6449,18293
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,576,95,2606,6202,12963,93,2463,5806,12111
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,640,83,1848,4715,9021,80,1754,4421,8496
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,704,73,1905,3600,7257,68,1781,3402,6854
2026-07-30T17:44:34+02:00,sphere-1M-meta-dpr.bin,center+rotate,true,true,768,200,10,768,59,1507,2852,7554,55,1418,2715,7172
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,64,240631,3513754,4549718,6510507,188023,3087462,4099698,6063759
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,128,28386,795889,1468058,1882945,23484,687726,1300052,1686792
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,192,4189,236642,559775,801742,3567,208628,502051,726871
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,256,1499,120364,240118,700466,1300,108180,218331,642746
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,320,548,53727,131526,208129,504,48334,120498,190440
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,384,362,26623,84684,138597,319,24327,78057,127516
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,448,259,16960,47808,128409,234,15587,44217,119073
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,512,182,12098,64922,107234,166,11105,60819,99921
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,576,119,7925,30916,78243,111,7371,28767,72938
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,640,99,7241,24521,32249,91,6794,23200,30099
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,704,75,6108,15663,20232,70,5693,14809,18975
2026-07-30T17:46:43+02:00,sphere-10M-meta-dpr.bin,center+rotate,true,true,768,200,10,768,70,4169,11158,21660,69,3866,10559,20400
