timestamp,dataset,config,rotate,center,retained,queries,k,depth,p50_worst,p75_worst,p90_worst,p95_worst,p99_worst,max_worst,p50_exp,p75_exp,p90_exp,p95_exp,p99_exp,max_exp
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,64,124122,260666,366665,456571,651798,858918,101904,222921,325853,410765,600290,828188,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,128,12645,44971,125597,208717,413291,530735,10577,38595,111705,188980,381969,497927,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,192,2963,11657,39088,92411,227685,333296,2486,10072,34556,83680,209498,312945,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,256,1025,3998,14585,26426,116459,157583,901,3526,12975,23975,108348,145448,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,320,442,1570,6574,14159,54562,83439,398,1374,5932,12901,50839,76844,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,384,267,830,2922,6096,19922,108525,243,768,2687,5529,18274,101329,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,448,186,510,1895,4089,15066,40602,172,470,1722,3760,13846,37612,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,512,125,369,1167,2787,10865,24252,117,341,1085,2588,10099,22593,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,576,99,258,652,2103,6109,10502,92,242,603,1972,5669,9900,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,640,78,209,465,1447,4837,7629,73,197,438,1375,4528,7129,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,704,65,163,462,893,2927,4643,62,152,422,833,2735,4331,%!d(MISSING)
2026-08-08T00:43:10+02:00,wikidpr-1M-e5.bin,center+rotate,true,true,768,400,10,768,54,125,335,712,1898,4829,52,119,316,677,1796,4550,%!d(MISSING)
