timestamp,dataset,index,config,param,queries,k,recall,p50_ms,p95_ms,p99_ms,qps,build_s,settle_s,heap_total_mib,vectors_mib,index_mib,disk_mib,notes
2026-08-08T00:07:30+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",16,1000,10,0.8504,0.156,0.253,0.302,6130.85,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:31+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",32,1000,10,0.9131,0.244,0.378,0.441,3966.94,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:31+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",64,1000,10,0.9457,0.413,0.621,0.726,2364.43,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:32+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",128,1000,10,0.9665,0.732,1.092,1.232,1350.05,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:33+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",256,1000,10,0.9752,1.348,1.982,2.262,739.01,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:36+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=0",512,1000,10,0.9790,2.502,3.581,4.101,403.12,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:36+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",16,1000,10,0.8562,0.177,0.274,0.329,5410.67,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:36+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",32,1000,10,0.9214,0.281,0.425,0.478,3449.79,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:37+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",64,1000,10,0.9567,0.461,0.673,0.764,2132.96,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:37+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",128,1000,10,0.9787,0.811,1.197,1.327,1215.59,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:39+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",256,1000,10,0.9883,1.449,2.161,2.507,674.95,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:42+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=768 query=768 uncentered 784B/code rescore=100",512,1000,10,0.9927,2.658,3.772,4.335,379.52,107.3,0.0,1549.2,747.7,205.1,0.0,"graph: 33661203 edges, 100983566 conn bytes, 114058400 overhead bytes"
2026-08-08T00:07:42+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",0,1000,10,0.9665,0.743,1.112,1.251,1332.78,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
2026-08-08T00:07:43+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",10,1000,10,0.9665,0.765,1.150,1.269,1291.15,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
2026-08-08T00:07:44+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",20,1000,10,0.9788,0.796,1.257,2.941,1166.73,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
